entity_head,entity_tail
肿胀,左前胸第四、五肋部
疼痛,左侧腰部
狭窄,L5-S1椎间盘
短缩畸形,右下肢
对称,两侧阴囊
结节,右肺门
肿胀,右膝部
疼痛,胸部
红肿,左上臂
疼痛,右手
肿胀,上唇
钝痛,右腰部
肿胀,左侧阴囊
肿胀,左颈部
疼痛,左侧阴囊
疼痛,脐周部
肿胀,右侧胸壁腋前线内侧
红肿,右手中指末节
肿大,右侧阴囊
痛,腰
肿胀,右侧附睾
疼痛,左上肢
渗出,胰腺
肿大,双颈部
骨折,额突
肿,左上臂近肘关节处
隆起,双侧肾区
结节,双侧附睾
出血,下口唇皮肤
骨折,右侧耻骨
疼痛,下腹
疼痛,右侧颜面部
疼痛,右侧阴囊内
畸形,双膝关节
锐痛,双上臂
松动,右上侧切牙
肿胀,两眉之间
正大等圆,双侧瞳孔
疼痛,腰部及双下肢
疼痛,左髋部
肿胀,鼻部
干燥,右髋部
骨折,右侧眼眶眶内壁
疼痛,腹部
疼痛,右腰部
红肿,龟头
破溃,下口唇皮肤
律齐,心前区
疼痛,前胸
疼痛,右下腹
胸闷,右侧胸部
疼痛,下颌部
疼痛,关节
疼痛,鼻背部
肿胀,右侧阴囊
疼痛,左下肢
肿胀,右上唇
锐痛,前胸部
出血,鼻部
骨折,左侧尺桡骨远端
结节,右肺
出血,口唇
挫伤,左前臂内侧皮肤
骨折,鼻部
疼痛,牙齿
膨隆,腹
疼痛,右下肢
肿大,右侧附睾头
出血,左手环指
疼痛,右手中指
疼痛,左踝部
疼痛,左前臂
骨折,鼻骨
胀痛,右侧阴囊
裂伤,鼻小柱上皮肤
出血,右侧胸部
疼痛,背
肿胀,双上臂
疼痛,颧部
肿胀,伤口周围
疼痛,鼻面部
发热,右腰部
瘙痒,龟头
疼痛,附睾
畸形,左肘关节背
红肿,左肘部
干燥,左手环指
疼痛,右胸部
红肿,右臀部
疼痛,左手环指
肿胀,胸壁局部软组织
血肿,右面皮下
出血,牙齿
疼痛,口唇
疼痛,背部
肿胀,左髋部
肿胀,右颧部
麻木,右手小指
胸闷,胸部
