entity_head,entity_tail
CT肋骨三维重建,憋气
查体,咽痛
全腹CT,疼痛
腰椎X光片,疼痛
胸部及腹部CT,出血
压痛,破溃
胸部正位DR片,胸痛
触痛,红肿
腰椎X光片,麻木
叩击痛,外旋内收畸形
左侧股骨正侧位,畸形
右手正斜位,头痛
头颅和鼻骨，肝胆脾胰CT,出血
触痛,肿胀
左髋X光片,锐痛
门诊血常规,肿大
右手正斜位,恶心
胸部X光片,肿胀
体温,肿胀
头颅CT,出血
触痛,包块
腰椎间盘CT,腰痛
胸部正位DR片,出血
血压,肿胀
查体,腹痛
彩超,疼痛
胸部正位片,肿大
脉搏,肿胀
血常规,发热
胸部X光片,头晕
头颅CT,疼痛
压痛,结节
中性粒细胞百分比,发热
胸部X光片,出血
头颅和鼻骨，肝胆脾胰CT,疼痛
腹部彩超,腹痛
胸部及腹部CT,疼痛
查体,肿胀
压痛,肿大
腰椎X光片,锐痛
压痛,血肿
右手正斜位,头晕
右膝关节DR,疼痛
左髋X光片,肿胀
骨盆正位片,疼痛
右手正斜位,疼痛
头颅和鼻骨，肝胆脾胰CT,头晕
左肘关节正侧位,畸形
压痛,肿胀
右膝关节DR,红肿
胸部正位DR片,气短
压痛,疼痛
胸部X光片,锐痛
查体,发热
头颅和鼻骨，肝胆脾胰CT,头痛
左尺桡骨正侧位,畸形
胸部正位DR片,呼吸困难
压痛,瘀斑
CT肋骨三维重建,胸痛
胸部正位DR片,胸闷
压痛,裂伤
胸部正位片,充血
全腹CT,肿胀
白细胞,发热
压痛,短缩畸形
触痛,疼痛
压痛,红肿
门诊血常规,充血
呼吸音,发热
心率,瘀斑
压痛,疼痛
BP,畸形
腰椎CT,恶心
压痛,红肿
拾物试验,红肿
莫非氏征,膨隆
肌张力,红肿
R,出血
杂音,膨隆
肌紧张,肿胀
P,出血
左侧肩关节CT,胸闷
胸片,充血
BP,包块
Bp,浮肿
心肺腹查体,畸形
颈部血管彩超,恶心
P,瘀斑
呼吸音,腹痛
神经系统检查,正大等圆
腰椎间盘CT,畸形
直腿抬高试验,结节
颈椎DR,呕吐
双侧巴氏征,麻木
查体,发烧
肝胆脾胰及双肾CT,昏迷
呼吸音,肿大
T,浮肿
杂音,震颤
P,红肿
血压,胀痛
呼吸音,充血
移动性浊音,瘀斑
触压痛,畸形
T,肿大
4字试验,畸形
T,充血
P,肿胀
光反射,渗出
湿罗音,咳脓痰
肠鸣音,包块
湿性啰音,发绀
脉搏,包块
Bp,头晕
肌紧张,畸形
杂音,咳嗽
对光反射,苍白
痰鸣音,疱疹
啰音,肿胀
中细湿性啰音,肿大
颈椎CR,恶心
光反射,红肿
头颅CT,麻木
反跳痛,震颤
宫高,膨隆
腰椎CT,疼痛
血糖,水肿
压痛,瘀斑
骨盆出口横径,膨隆
颈椎X光片,头痛
Bp,咳嗽
