entity_head,entity_tail
查体,双下肢
查体,左颈部
CT,腹股沟淋巴结
胸部CT,胆
胸部CT,右侧局部胸膜
腰椎间盘CT,腰5-骶1椎间盘
胸部CT,冠状动脉
MRI,颈3、4、5、7
头部颈椎腰椎CT,颈椎腰椎
胸、腹、，盆腔CT,两肺上叶
左上肢肿物彩超,左上肢近端
胸透,右隔下游
查体,双踝关节
查体,心
腰椎CT,腰4-5、腰5-骶1椎间盘
输尿管、肾脏CT,左侧肾盂
查体,上腹及脐周
泌尿系超声,右肾
门诊彩超,前列腺
左髋部X光片,左股骨颈
骨盆正位片,坐骨支
腹部B超,肾
CT,食管
下腹部平扫,腹膜后多发淋巴结
腹部B超,腹腔
PET/，CT,右侧输尿管
心脏彩超,主动脉瓣
b超,左颈淋巴结
骨盆正位片,尺骨支
查体,双侧瞳孔
CT,右肾窦
查体,前额
输尿管、肾脏CT,左肾
CT,肝
查体,双膝关节
胸部CT,左侧锁骨头
肛门指诊,肛门
查体,右膝外侧
全腹部CT,胃体部大弯、小弯壁
腹盆CT,左侧髂血管旁及左侧腹股沟淋巴结
胸部CT,骨
CT,头颅
左膝关节正侧位X光片,左侧髌骨
全腹部CT,淋巴结
MR,直肠
查体,头顶部
腹透,右中腹
查体,左额顶部
MRI,胸4椎体及附件
超声,肝
左手正斜位,左手无名指末节
查体,双侧肋脊角
PET-CT,右附件
胸透,心包
CT肋骨三维重建,左侧第四肋骨
头颅、鼻骨、肝胆脾胰CT,鼻中隔
DR,右膝关节正侧位
b超,右颈淋巴结
头颅、鼻骨、肝胆脾胰CT,双侧基底节区
冠脉造影,左前降支中段
CT,肠
PET/CT,两髂
彩超,左侧阴囊
冠脉造影,右冠
胸部CT,锁骨
胸透,右中腹
髂总动脉CTA,两侧髂总动脉
查体,肺
胸部ct,左肺上叶纵膈
胸部CT,肋骨
腹部CT增强,小肠管壁
查体,额顶部
髂总动脉CTA,右上肢
腹部B超,肝左叶
CT,两肺
输尿管、肾脏CT,近端输尿管
查体,右侧胸壁腋前线
头颅及胸部上腹部 CT,脑
CT,腹腔
胸部CT,肺
超声,子宫
彩超,双侧甲状腺结节
查体,骨盆
PET/CT,骶前
CT,右肺
胸、腹、，盆腔CT,直肠壁
查体,胃液
PET/，CT,肝S1
查体,胃管
彩超,左肾盂
胸腹部CT,两侧胸腔
彩超,膀胱
彩超,右肾上极
彩超,左肾
查体,腰椎间盘
查体,头颅
查体,锁骨
头颅CT,双侧基底节区
左髋部X光片,左侧粗隆间
腹部CT,胃
胸部ct,纵膈
头颅及胸部上腹部 CT,肝囊
CT,胰
肾上腺CT,肾上腺
胸部CT,胸椎
腹部彩超,右上腹
腰椎CT,椎间孔
胸部CT平扫+，增强,主动脉弓
彩超,左输尿管上段
胸部CT,双肺
胸部+全腹部+盆腔CT,肠
输尿管、肾脏CT,肾盏
CT,右肾
鼻骨CT,鼻骨右支
PET/CT,左髂血管
胸部CT平扫+，增强,右上上肺
头颅和鼻骨，肝胆脾胰CT,双侧基底节区
泌尿系增强CT,胆囊
CT,胰腺
胸部ct,食管下段
腰椎正侧位X光片,胸12椎体
查体,舌部右侧
泌尿系彩超,前列腺
B超,左侧卵巢
右髋关节正位,右股骨颈
查体,头部
头颅和鼻骨，肝胆脾胰CT,鼻骨
查体,足背动脉
胸部CT,纵隔
腹部B超,胆囊
头颅和鼻骨，肝胆脾胰CT,双侧额突
头颅CT,右侧枕顶部
腹部mri,肝右叶vii段
查体,头颅枕顶部
颧弓CT,右侧眼眶眶内壁
查体,右上肢
头颅及胸部上腹部 CT,双肺
PET-CT,腹
彩超,膀胱三角区
腹部CT,幽门
胸部CT,两上肺
腰椎X光片,胸12椎体
胸部CT,颈椎
查体,颈部后侧
腹部CT,肝脏
查体,胸肺腹
腹部CT,胆
查体,右肾
PET-CT,胸
胸部CT,右肺门
彩超,膀胱壁
CT,脾
下腹部平扫,腹腔
CT,胆
查体,四肢
骨盆正位片,右侧耻骨
查体,左膝
CT,左侧第5肋骨
胸部CT,左肺上叶
腹部CT,乳头
心脏彩超,右室后壁
PET/CT,肝左后叶
胸部CT平扫+，增强,纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结
CT,前列腺
头颅、鼻骨、肝胆脾胰CT,鼻骨
查体,左膝关节
泌尿系彩超,膀胱壁
下腹部，CT,肝右内叶
