entity_head,entity_tail
CT,渗出
鼻骨CT,骨折
胸部CT,结节
头颅CT,骨折
肋骨三维重建,骨折
心脏听诊,律齐
头颅及胸部上腹部 CT,血肿
查体,渗出
彩超,结节
彩超,肿大
查体,膨隆
支气管镜,出血
查体,出血
CT肋骨三维重建,骨折
胸椎核磁,骨折
支气管镜,隆起
查体,畸形
右髋关节正位片,骨折
骨盆正位片,骨折
查体,肿胀
放射痛,疼痛
心率,律齐
左髋部X光片,骨折
头颅和鼻骨，肝胆脾胰CT,骨折
查体,裂伤
肋骨CT,骨折
眼眶CT,肿胀
腹部彩超,结节
超声,肿大
左膝关节正侧位X光片,骨折
查体,正大等圆
CT,骨折
右手正斜位,骨折
右髋关节正位,骨折
左手正斜位,骨折
头颅CT,血肿
查体,充血
颧弓CT,骨折
查体,疱疹
CT,出血
体温,寒战
查体,对称
查体,破溃
对光反射,正大等圆
头部颈椎腰椎CT,骨折
查体,肥大
查体,肿大
腰椎CT,狭窄
体温,发热
查体,血肿
查体,律齐
头颅、鼻骨、肝胆脾胰CT,骨折
血压,恶心
啰音,畸形
直腿抬高实验,疼痛
呼吸音,咳嗽
呼吸,包块
查体,呼吸困难
腰3-骶1椎间盘CT,腰痛
放射痛,疼痛
心肺腹查体,麻木
R,水肿
肠鸣音,正大等圆
血常规,肿大
查体,骨折
胸部DR,疼痛
呼吸音,正大等圆
触痛,畸形
左侧肩关节CT,疼痛
血压,胸闷
腰间盘CT,腰痛
腰椎间盘CT,咳嗽
肌张力,对称
肌紧张,黄染
叩音,对称
胎方位,膨隆
压痛,骨折
P,咳痰
肠鸣音,苍白
4字试验,疼痛
腹部彩超,结节
R,畸形
中小水泡音,肿大
心率,静脉曲张
移动性浊音,水肿
头颅CT,腹痛
摩擦音,律齐
R,胸痛
病理反射,畸形
L3-S1椎间盘CT平扫,狭窄
血糖,疼痛
头颅CT,心悸
病理性杂音,苍白
R,正大等圆
查体,脓苔
对光反应,水肿
血压,耳鸣
压痛,恶心
反跳痛,水肿
肌力,无力
血糖,头晕
查体,头晕
拍片,疼痛
痰鸣音,脓苔
对光反射,浮肿
颈部血管彩超,头晕
W,咳嗽
头颅CT,麻木
干湿性啰音,水肿
头颅CT,疼痛
体温,咳痰
查体,黄染
啰音,肿胀
干啰音,发绀
反跳痛,肿大
血脂,水肿
R,肿胀
查体,疱疹
查体,喘憋
R,瘀斑
Bp,苍白
病理反射征,畸形
颈椎侧位片,狭窄
右踝关节DR,胸闷
颈椎CR,呕吐
病理反射,腰痛
触痛,骨折
腰椎间盘CT,疼痛
移动性浊音,静脉曲张
呼吸音,水肿
呼吸音,发热
对光反射,血肿
反跳痛,疼痛
压痛,震颤
心肺腹查体,青紫
脉搏,膨隆
反跳痛,畸形
腰椎磁共振平扫,腰痛
对光反射,对称
体温,肿胀
触痛,水肿
头颅CT,咳痰
左侧肩关节CT,头晕
BP,畸形
心肺腹查体,疼痛
直腿抬高试验,腰痛
呼吸音,发绀
双侧腹股沟彩超,包块
触痛,隆起
呼吸音,对称
血压,头晕
肌张力,骨折
P,红肿
心率,气短
湿罗音,咳嗽
P,昏迷
湿性啰音,畸形
盆骨平片,头晕
颈椎CR,恶心
双侧巴氏征,律齐
体温,红肿
啰音,包块
肌力,正大等圆
查体,畸形
鼻部CT,呕吐
呼吸音,肿大
肌力,腰痛
克尼格氏征,畸形
脉搏,肿大
反跳痛,头晕
反跳痛,肿胀
胸部正位片,腹痛
头颅CT,出血
神经系统检查,正大等圆
T,麻木
颈椎CT,恶心
干湿性啰音,浮肿
中小水泡音,疱疹
喘鸣音,肿大
颈椎CR,头晕
