entity_head,entity_tail
姑息性“乙状结肠切除,乙状结肠腺癌并肝转移
格列美脲,2型糖尿病
腹腔镜上直肠癌根治术（MILES）,直肠癌
阿卡波糖,血糖升高
安素泰,吻合口狭窄
阿司匹林肠溶片,急性心肌梗死
左半结肠切除术,结肠癌
保妇康栓,急性阴道炎
希罗达 ,肝转移
经腹筋膜外子宫+两附件切除+大网膜切除+阑尾切除+盆腔转移病灶清除+肿瘤细胞减灭术,卵巢癌
广泛全子宫切除+两侧附件切除+盆腔淋巴结清扫+腹主动脉旁淋巴结活检术,子宫内膜癌II期
腹腔镜辅助上乙状结肠癌根治术,结肠癌
紫杉醇,食管癌术后
肠粘连松解术,急性肠梗阻
眩晕片,脑梗死
剖腹探查+卵巢癌细胞减灭术（全子宫、两侧附件、大网膜、阑尾、盆腔转移灶、直肠转移灶切除+盆腔淋巴结清扫术）,卵巢癌
希罗达,"胃体胃窦癌(CT4N2M0,IIIB期)"
"胃癌根治术\""（远端胃大部切除）",胃癌
希罗达,腺癌
奥沙利铂,子宫内膜癌
姑息性右半结肠切除术,结肠癌
右前臂动静脉内瘘吻合术,消化道出血
地塞米松,支气管肺炎
右半结肠切除术术,右半结肠癌
替吉奥,胃窦癌术后
腹腔镜上根治性直肠癌切除术+回肠造瘘术,直肠癌
左亚叶酸钙,胆囊炎
二甲两胍,糖尿病
直肠癌根治术（DIXON术）,直肠癌
腹腔镜乙状结肠切除+肠粘连松解,乙状结肠癌
安素泰,胃窦癌
根治性全胃切除术+食管空肠ROUX-Y吻合术（D2）,胃癌
复方黄藤洗液,急性阴道炎
曲美布汀,两肾结石
腔镜上直肠根治术（DIXON手术,直肠癌
根治性全胃切除术,胃癌
葡萄糖,糖尿病
前列癃闭通片,前列腺增生
紫杉醇,子宫内膜癌
腹腔镜上根治性右半结肠切除术,降结肠中分化管状腺癌
多西他赛,胃肿瘤术后
亚叶酸钙,粘连性小肠梗阻
伊玛替尼,慢性粒细胞白血病
安素泰,慢性萎缩性胃炎
高糖,室下性早搏
安素泰,胃管状腺癌II-III级
卡培他滨,直肠癌术后
根治性远端胃切除、胃空肠ROUX-Y吻合术,胃窦癌
乐沙定,胃低分化腺癌
多西他赛,胃低分化腺癌
胸腔镜上全胸段食管切除+食管-胃底右颈部吻合术,食管占位
络活喜,高血压
厄贝沙坦,肺动脉瓣及主动脉瓣轻度反流
腹腔镜上胃癌根治术,胃癌
麝香保心丸,急性心肌梗死
腹腔镜上直肠癌根治术（DIXON）,直肠隆起型管状腺癌
剖腹探查+肠粘连松解术+回肠单腔造瘘术,直肠吻合口漏
亚莫利,2型糖尿病
非那雄胺片,前列腺增生
腹腔镜上广泛子宫+两附件切除术+盆腔淋巴结清扫术,宫颈癌IAI
剖腹探查术、腹盆腔冲洗、回肠造瘘术、腹盆腔置管引流术,腹膜炎
艾素,中分化腺癌
胃癌姑息切除术（远端胃大切）,胃癌
奥沙利铂,"胃体胃窦癌(CT4N2M0,IIIB期)"
腹腔镜上直肠癌根治术DIXON,直肠癌
乙状结肠癌切除术、远端封闭，近端造瘘,右肾囊肿
曲美他嗪,肺动脉瓣及主动脉瓣轻度反流
腹腔镜上直肠癌根治术+预防性回肠造瘘,直肠癌
S-1,胃低分化腺癌
剖腹探查术、腹盆腔冲洗、回肠造瘘术、腹盆腔置管引流术,吻合口瘘
痰热清,发热原因待查
替加氟,粘连性小肠梗阻
腹腔镜上左半结肠姑息性切除术,结肠癌
顺铂,食管中上段鳞癌
伏格列波糖,糖尿病周围神经病变
艾司奥美拉唑镁肠溶片,冠心病
乙状结肠部分切除、乙状结肠单腔造瘘，阑尾切除术,乙状结肠癌
替加氟,回盲部浸润型粘液腺癌
根治性全胃切除术（食道空肠ROUX-Y吻合、D2、R0）,贲门溃疡型胃癌
羟基脲,慢性粒细胞白血病慢性期
腹腔镜辅助上直肠癌根治术（MILES）,直肠癌
乙状结肠根治术,乙状结肠癌
亚叶酸钙,乙状结肠癌术后
胃癌根治术（全胃切除+区域淋巴结清扫+ROUX-EN-Y消化道重建术）,残胃异时性原发癌
二甲双胍,2型糖尿病
腹腔镜辅助上乙状结肠癌根治术,乙状结肠癌
结肠癌手术,结肠癌伴肝转移
左亚叶酸钙,右肾小囊肿
全腹腔镜上根治性远端胃大部切除术+直肠癌根治术,直肠癌
肝部分切除及胆囊切除术,HCC
厄贝沙坦,二尖瓣及主动脉瓣狭窄
倍他乐克,冠状动脉粥样硬化性心脏病
胃癌根治术（毕I式吻合）,胃癌
单硝酸异山梨酯缓释片,右室收缩功能正常
定君生,急性阴道炎
胃镜上吻合口狭窄扩张术,吻合口狭窄
冠脉搭桥手术及射频消融术,四支血管病变
剖腹探查,直肠癌
姑息性胃大部切除术+毕II式吻合,胃恶性肿瘤
全子宫+两附件切除术+阑尾+大网膜切除术+盆腔淋巴结清扫术,卵巢癌
全胃切除术（空肠J字代胃）,残胃癌
腹腔镜上根治性远端胃大部切除术,胃癌
替加氟,胃恶性肿瘤术后
曲美他嗪,二尖瓣及主动脉瓣狭窄
直肠高位前切除术,直肠癌
胃镜上息肉切除,胃息肉
全腹腔镜上根治性远端胃大部切除术+直肠癌根治术,胃癌
根治性远端胃大部切除术,胃癌
CF,回盲部浸润型粘液腺癌
腹会阴联合直肠癌根治术（MILES手术）,直肠癌
广泛全子宫两附件切除术+盆腔淋巴结清扫术+阔韧带肌瘤剥除术+阴道顶悬吊术,宫颈鳞癌
格列美脲,糖尿病眼病
达喜,胃息肉
根治性DIXON手术,直肠癌
顺铂,食管癌
右半结肠切除术,不全肠梗阻
III型全子宫及及两附件两附件切除及盆腔淋巴结清扫术及腹主动脉旁淋巴结活检术,浸润性低分化鳞状细胞癌
气管插管,呼吸衰竭
腹腔镜上直肠癌根治术（DIXON）,直肠腺癌（PT2N0M0）
厄贝沙坦,二尖瓣及三尖瓣重度反流
左半结肠切除+淋巴结清扫术,结肠癌
顺铂,浸润性低分化鳞状细胞癌
腹腔镜上姑息性直肠癌切除术（HARTMANN）+乙状结肠造瘘术,直肠癌伴两肺多发转移瘤
格列美脲,血糖升高
艾司奥美拉唑镁肠溶片,反流性食管炎
洛赛克,胃癌术后多发脑转移
小肠双腔造瘘术,肠梗阻
单硝酸异山梨酯缓释片,心包积液
紫杉醇,宫颈鳞癌IIB期
氟尿嘧啶,食管癌伴纵隔淋巴结转移
硝酸甘油片,急性心肌梗死
曲美他嗪,二尖瓣及三尖瓣重度反流
肿瘤细胞减灭术（全子宫+两附件切除术+大网膜切除术+DIXON术+回盲部切除术）,卵巢癌
亚叶酸钙,直肠癌术后
地高辛,心衰
膀胱造瘘术,尿潴留
根治性左半结肠切除术+胆总管探查术,升结肠恶性肿瘤
头孢唑啉,发热原因待查
全子宫切除术+右侧附件切除术,子宫肌瘤
直肠癌根治术（,直肠癌
氟尿嘧啶,直肠癌术后
根治性全胃切除术（食道空肠ROUX-Y吻合、D2、R0）,贲门癌
开顺,支气管肺炎
奥沙利铂,低分化腺癌，部分为印戒细胞癌
腹腔镜上根治性远端胃切除术,胃窦癌
硝酸甘油片,窦性心律
胃癌根治术，毕II式远端胃,脂肪肝
胸腔引流、胸腔冲洗,胸腔感染
表柔比星,部分管状腺癌
