entity_head,entity_tail
胃癌,胃体
胃癌,胃底部
胃癌,小弯侧
胃癌,下腹部
胃体及胃窦小弯侧早期隆起型（0-I型）低黏附性癌，印戒细胞癌为主，部分为低分化腺癌及未分化癌,胃
鳞状下皮呈乳头状增生，部分鳞状下皮呈低级别下皮内瘤变,食管
食管癌，伴右侧锁骨下窝、食管旁沟及纵膈内多发淋巴结转移,食管下段
胃体胃窦癌,下腹
壶腹部鳞状细胞癌（低度分化）,壶腹部
腹痛待查,腹
腹痛待查,脐
直肠癌,腹
直肠癌,肠
直肠隆起型中分化管状腺癌，小灶区为黏液腺癌,直肠
直肠隆起型中分化管状腺癌，小灶区为黏液腺癌,肠
肠溃疡型管状腺癌II级,乙状结肠
肠溃疡型管状腺癌II级,肠壁
肠溃疡型管状腺癌II级,肠
肠溃疡型管状腺癌II级,肠周淋巴结
胃角溃疡型粘液腺癌，部分为印戒细胞癌,远端胃
胃角溃疡型粘液腺癌，部分为印戒细胞癌,小弯淋巴结
胃角溃疡型粘液腺癌，部分为印戒细胞癌,大弯淋巴结
胃角溃疡型粘液腺癌，部分为印戒细胞癌,幽门上淋巴结
宫颈鳞癌IB1期,子宫
宫颈浸润型鳞状细胞癌II级,子宫
"胃体胃窦癌(CT4N2M0,IIIB期)",下腹
"胃体胃窦癌(CT4N2M0,IIIB期)",腹
胃中至低分化管状腺癌（LAUREN，分型：肠型）,胃
中分化腺癌, 胃体
中分化腺癌,胃
腺癌,贲门左(3/3)、 胃小弯(8/9)、幽门上（2/2)淋巴结
腺癌,右侧下上肢
胃窦溃疡型低黏附性癌（印戒细胞癌为主，部分为未分化癌及黏液腺癌）,远端胃
胃窦癌术后,中下腹
腹痛待查,中下腹
恶性肿瘤,左卵巢
恶性肿瘤,卵巢
腺癌,左卵巢
腺癌,卵巢
浸润性低分化鳞状细胞癌,阴道
宫颈鳞癌IIB期,阴道
低分化癌,子宫
低分化癌,两附件
低分化癌,宫颈
低分化癌,宫体上段肌层
低分化癌,阴道穹窿
腺鳞癌,子宫
腺鳞癌,两附件
腺鳞癌,宫颈
腺鳞癌,宫体上段肌层
腺鳞癌,阴道穹窿
腺癌,腹
腺癌,结直肠
腺癌,结肠肝曲
腺癌,肠
食管炎（A级）,贲门
胃体大弯侧溃疡型低分化腺癌,胃
胃窦癌伴出血伴肝脏、胰腺受侵,胃窦幽门管
胃窦癌伴出血伴肝脏、胰腺受侵,肝脏
胃窦癌伴出血伴肝脏、胰腺受侵,胰腺
胃窦癌伴出血伴肝脏、胰腺受侵,横结肠
胃窦浸润型管状腺癌II-III级,胃
胃窦浸润型管状腺癌II-III级,肝
胃窦浸润型管状腺癌II-III级,肝实质
胃低粘附性癌,胃
胃低粘附性癌,胃
低分化腺癌,胃
低分化腺癌,胃
胃窦癌伴胃潴留,胃
胃癌,胃
低分化腺癌,胃窦
低分化腺癌,胃
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,升结肠肠管
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,结肠肝曲
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,十二指肠降部、水平部
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,肝十二指肠韧带
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,腹
胃癌,腹
胃癌,胃窦
中至低分化腺癌，部分为粘液腺癌（LAUREN，分型：混合型）,胃
中至低分化腺癌，部分为粘液腺癌（LAUREN，分型：混合型）,胃
腺癌,胃
腺癌,胃
腺癌,第1组淋巴结
腺癌,第3组淋巴结
腺癌,第4组淋巴结
腺癌,第5组淋巴结
腺癌,第7组淋巴结
腺癌,第8组淋巴结
胃窦溃疡,中下腹
胃窦溃疡,胃窦小弯侧
胃窦溃疡,小弯侧胃
胃窦小弯侧溃疡型管状腺癌II级,胃
肝转移瘤,肝右内叶
胃大部切除术后,胃
肝转移瘤,肝右内叶
肝转移瘤,肝
贲门腺癌（中度分化），浸润溃疡型,上段食管旁”（3个）、“贲门周围”（4个）、“胃右动脉旁”（8个）淋巴结
食管癌,食管下段
食管癌,气管
食管癌,食管下段周围多发肿大淋巴结
食管癌,下腹部贲门周围一淋巴结
食管鳞状细胞癌II级,食管下段
食管鳞状细胞癌II级,气管
食管鳞状细胞癌II级,食管下段周围多发肿大淋巴结
食管鳞状细胞癌II级,下腹部贲门周围一淋巴结
食管癌,食管下段
食管癌,气管
食管癌,食管下段周围多发肿大淋巴结
食管癌,下腹部贲门周围一淋巴结
食管癌,食管
食管鳞癌,门齿
食管鳞癌,左肺上叶纵膈
食管鳞癌,纵膈
食管鳞癌,食管下段
食管癌,门齿
食管癌,左肺上叶纵膈
食管癌,纵膈
食管癌,食管下段
肠梗阻,结肠脾曲
卵巢癌,右附件
卵巢癌,右附件
肝包膜转移,肝
低分化腺癌,盆腔
卵巢癌,卵巢
左下腹痛隐痛待查,左下腹
胃窦多发息肉（I型）,下腹
胃窦多发息肉（I型）,胃体
非霍奇金淋巴瘤，，弥漫大B细胞型,胃底
淋巴瘤,胃体
淋巴瘤,胃窦
淋巴瘤,胃
淋巴瘤,胃体
淋巴瘤,胃窦
淋巴瘤,胃
冠心病,胸
冠心病,心前区
冠心病,右冠
冠心病,前降支中段
冠心病,第一对角支近段
恶性肿瘤,左卵巢
恶性肿瘤,卵巢
腺癌,左卵巢
腺癌,卵巢
胆囊多发结石,腹
胆囊炎,腹
胆囊结石伴胆囊炎,腹
中低分化腺癌,下腹部
中低分化腺癌,胃小弯
中低分化腺癌,胃角
降结肠癌,降结肠近脾曲
降结肠癌,肠
降结肠癌,肠
降结肠癌,肠系膜上血管根部
降结肠癌,腹主动脉
不全肠梗阻,降结肠近脾曲
不全肠梗阻,肠
不全肠梗阻,肠
不全肠梗阻,肠系膜上血管根部
不全肠梗阻,腹主动脉
直肠~结肠癌,直肠
直肠~结肠癌,乙状结肠
直肠~结肠癌,肠
中分化腺癌,肠
中分化腺癌,肠
周围型肺癌,左肺上叶
周围型肺癌,纵隔
颈3、胸4椎体病理性压缩性骨折,颈椎
颈椎、椎间盘退行性变,颈椎
（升结肠）粘液性腺癌,肠
（升结肠）粘液性腺癌,肠
（升结肠）粘液性腺癌,肠
胃窦低分化腺癌,下腹部
急性淋巴结炎,左侧面颊部
肾上腺腺瘤,左侧肾上腺
支气管肺炎,两肺
支气管肺炎,两下肺
结肠癌,上腹部
右胸部外伤,胸部
腔隙性脑梗死,双侧基底节区
面部外伤,鼻部
面部外伤,鼻梁皮肤
面部外伤,鼻腔
鼻骨骨折,鼻部
鼻骨骨折,鼻梁皮肤
鼻骨骨折,鼻腔
腔隙性脑梗死,双侧基底节区
骨盆骨折,右侧坐骨
骨盆骨折,右侧耻骨
脂肪瘤,左上肢近端
头皮血肿,头皮
多处软组织损伤,头部、腹部
多处软组织损伤,双侧下肢
多处软组织损伤,双下肢
臀部脓肿,右臀部
臀部脓肿,局部皮肤
右侧急性附睾炎,右侧阴囊
急性尿潴留,下腹部
前列腺增生,前列腺
前列腺增生,前列腺
左股骨颈骨折,左股骨颈骨质
骨质疏松症,腰椎
胸12椎体压缩骨折,胸12椎体
腰椎间盘突出症,腰部
腰椎间盘突出症,右下肢
腰椎间盘突出症,L5-S1椎间盘
腰椎管狭窄,腰部
腰椎管狭窄,右下肢
腰椎管狭窄,L5-S1椎间盘
胸部外伤,前胸部
胸部外伤,前胸部
腔隙性脑梗塞,双侧基底节区
阑尾炎,右下腹
阑尾炎,右下腹
阑尾炎,阴囊
阑尾炎,腹股沟
阑尾炎,腰部
膝关节骨性关节炎,右膝关节
右膝关节骨性关节炎,右膝关节
左侧肋骨骨折,左侧胸部
左侧气胸,胸
右股内侧蜂窝织炎,右侧大腿脂肪层
多处皮肤软组织裂伤,左前臂
多处皮肤软组织裂伤,左膝
多处皮肤软组织裂伤,右小腿
急性支气管炎,咽部
急性支气管炎,扁桃体
脑梗死,右侧半卵圆中心
肺癌,肺内
脑梗死,双侧基底节区
脑梗死,右侧半卵圆中心
颈椎病,颈部
腰椎间盘突出症,L5-S1椎间盘
腰椎间盘突出症,L5-S1椎间盘
腰椎间盘突出症,腰椎
颈椎退行性变,颈部
颈椎退行性变,颈椎
颈椎综合症,肩
颈椎综合症,颈部
颈椎病,肩
颈椎病,颈部
腰椎间盘突出症,右下肢
腰椎间盘突出症,腰椎
腰椎间盘突出症,腰4-5、腰5-骶1椎间盘
腰椎间盘突出症,L5-S1椎间盘
颈椎病,肩
颈椎病,颈部
颈椎病,左上肢
颈椎病,颈椎
腹膜炎,下腹
急性阑尾炎,右下腹
右侧第四肋骨骨折,右侧第四肋骨骨皮质
腔隙性脑梗塞,双侧基底节区
腔隙性脑梗塞,双侧基底节区
右侧额颞部硬膜下血肿,右侧额颞部硬膜下
右侧顶骨骨折,右侧顶骨
左侧顶部皮下血肿,左侧顶部皮下
左锁骨远端骨折,左锁骨远端
左肩峰撕脱骨折,左肩
右下肢软组织损伤,右下肢
右下肢软组织损伤,右下肢
外伤,头部
外伤,面部
外伤,头部
外伤,鼻部
外伤,面部
脑梗塞,左侧基底节区
左侧肋骨骨折,左侧胸背部
左侧肋骨骨折,左侧胸背部
急性阑尾炎,右下腹
疝气,左侧下腹部腹股沟区
腔隙性脑梗死,左侧基底节区
左手拇指末节开放骨折,左手拇指远节
左手拇指末节开放骨折,手指末节
左手拇指末节开放骨折,左手拇指
左手拇指末节开放骨折,左手拇指末节
腔隙性脑梗塞,左侧基底节区
支气管肺炎,双肺
肺炎,咽部
肺炎,双肺
急性支气管炎,咽部
急性支气管炎,扁桃体
急性支气管炎,双肺
左肺肺炎,咽部
左肺肺炎,双肺
左肺肺炎,左肺
多发淋巴结,脐周
川崎病,眼结膜
川崎病,躯干及臀部
外股骨头疾患,左髋部
急性胆囊炎,胆囊
支气管扩张症,双肺
支气管扩张症,双肺
前列腺慢性炎症,阴茎
腔隙性脑梗死,双侧基底节
慢性阻塞性肺疾病,肺
慢性阻塞性肺疾病,双肺
慢性肺源性心脏病-心肺功能失代偿期,心
心音反应,心前区
食管癌,主动脉弓
食管癌,右上上肺
食管癌,食管
食管癌,纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结
食管癌,肝
食管癌,胃
食管癌,主动脉弓
食管癌,右上上肺
食管癌,食管
食管癌,纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结
食管癌,肝
食管癌,胃
食管中上段鳞癌,主动脉弓
食管中上段鳞癌,右上上肺
食管中上段鳞癌,食管
食管中上段鳞癌,纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结
食管中上段鳞癌,肝
食管中上段鳞癌,胃
胃CA侵出浆膜层并网膜种植转移,胸
胃CA侵出浆膜层并网膜种植转移,胃体部大弯、小弯壁
胃CA侵出浆膜层并网膜种植转移,肝胃间隙
