entity_head,entity_tail
疼痛,右髋部
肿胀,右髋部
疼痛,上腹部
疼痛,腰部
疼痛,头部
疼痛,双上肢
疼痛,右髋部
疼痛,右侧胸部
出血,右侧胸部
疼痛,头面部
疼痛,颈部
疼痛,后臀部
肿物,左上肢
疼痛,双膝关节
畸形,双膝关节
疼痛,头部
疼痛,腹部
疼痛,双下肢
屈曲畸形,左肘关节
松动,右上侧切牙
触痛,右上侧切牙
挫伤,下唇右侧内黏膜
肿胀,下唇右侧内黏膜
挫伤,左前臂内侧皮肤
渗血,左前臂内侧皮肤
疼痛,右腰部
发热,右腰部
疼痛,右侧腰部
疼痛,右手中指
疼痛,肩部
疼痛,腰部
疼痛,左膝部
疼痛,左下肢
疼痛,右手
胀痛,下腹部
疼痛,下肢
疼痛,下肢
出血,前胸部
疼痛,前胸部
疼痛,头部
疼痛,胸部
疼痛,背部
疼痛,双下肢
痛,左上肢
痛,腰
疼痛,双下肢
疼痛,下腹
疼痛,下腹
疼痛,下腹
红肿,龟头
红肿,包皮
瘙痒,龟头
瘙痒,包皮
疼痛,左肘部
疼痛,左膝部
疼痛,左踝部
疼痛,右手部
疼痛,右髋部
膨隆,腹
疼痛,右胸部
裂伤,左眉弓
干燥,右髋部
膨隆,腹
膨隆,腹
正大等圆,双侧瞳孔
疼痛,右眼
疼痛,鼻面部
疼痛,右手环小指
麻木,右手小指
正大等圆,双侧瞳孔
肿胀,右眼部
肿胀,鼻部
血肿,右面皮下
正大等圆,双侧瞳孔
疼痛,左上肢
肿胀,双膝关节
正大等圆,双侧瞳孔
律齐,双肺
疼痛,右侧颜面部
疼痛,下颌部
血肿,头皮
正大等圆,双侧瞳孔
对称,双侧肋脊角
疼痛,下腹部
对称,双侧肋脊角
对称,两侧阴囊
对称,双侧睾丸
对称,胸廓
对称,双侧肋脊角
对称,双侧肋脊角
对称,两侧阴囊、睾丸
正大等圆,双侧瞳孔
对称,双侧肋脊角
对称,两侧阴囊、睾丸
干燥,腹
肿胀,右侧阴囊
疼痛,睾丸
疼痛,附睾
红肿,右手中指末节
疼痛,左侧臀部
肿胀,前额
肿胀,左侧下眼睑
肿胀,右手拇指
疼痛,关节
肿胀,头顶部
律齐,双肺
肿胀,双膝
疼痛,腰部
肿大,淋巴结
对称,胸廓
对称,双侧肋脊角
对称,双侧肋脊角
对称,双侧肋脊角
正大等圆,双侧瞳孔
对称,双侧肋脊角
干燥,左手环指
疼痛,左髋部
疼痛,左髋部
对称,双侧肋脊角
对称,双侧肋脊角
对称,双侧肋脊角
对称,双侧肋脊角
疼痛,腰部
红肿,骶尾部
疼痛,双下肢
对称,胸廓
对称,双侧肋脊角
对称,双侧肋脊角
对称,两侧阴囊
对称,双侧睾丸
肿胀,左面部
疼痛,胸部
疼痛,背部
对称,胸廓
肿胀,胸廓
疼痛,腰部
疼痛,双下肢
疼痛,颈部
疼痛,左胸肋部
疼痛,腰部
红肿,左肘部
红肿,右踝内侧
对称,胸廓
对称,双侧肋脊角
对称,胸廓
对称,双侧肋脊角
对称,双侧肋脊角
对称,双侧肋脊角
肿胀,耻骨上膀胱区
对称,两侧阴囊
对称,两侧阴囊
正大等圆,双侧瞳孔
苍白,口唇
对称,胸廓
隆起,双肾区
肿,左上臂近肘关节处
对称,胸廓
对称,双侧肋脊角
疼痛,头部
疼痛,左肘部
疼痛,左膝部
疼痛,左踝部
肿胀,左踝部
肿胀,右膝部
疼痛,上唇
正大等圆,双侧瞳孔
肿胀,右颧部
肿胀,右上唇
骨折,左侧粗隆间
短缩畸形,右下肢
外旋内收畸形,右髋部
骨折,右侧股骨粗隆间
疼痛,上腹部
疼痛,上腹部
渗出,胰腺
腹痛,上腹部
腹胀,上腹部
膨隆,腹
肿胀,右侧眼眶外软组织
正大等圆,双侧瞳孔
肿胀,右眼下方
肿胀,双上臂
肿胀,右侧眼眶外软组织
疼痛,右髋部
骨折,右股骨颈
腹痛,上腹部
腹胀,上腹部
膨隆,腹
腹痛,上腹部
腹胀,上腹部
膨隆,腹
出血,右侧胸部
出血,胸部
胸痛,右侧胸部
胸痛,胸部
胸闷,右侧胸部
胸闷,胸部
等大等圆,双侧瞳孔
肿胀,右侧胸壁腋前线内侧
肿胀,胸壁局部软组织
膨隆,周身皮肤粘膜
出血,鼻部
疼痛,鼻部
疼痛,上唇
骨折,鼻骨
骨折,双侧额突
肿胀,鼻部
肿胀,上唇
肿胀,两眉之间
骨折,鼻骨
骨折,双侧额突
疼痛,右眼
疼痛,鼻面部
出血,鼻面部
疼痛,颈部
骨折,鼻骨右支
骨折,右侧眼眶眶内壁
肿胀,头部
正大等圆,双侧瞳孔
肿胀,右眼部
肿胀,鼻部
裂伤,右侧鼻翼
裂伤,鼻小柱上皮肤
肿胀,颈部
骨折,鼻骨右支
骨折,右侧眼眶眶内壁
肿胀,头顶部
等大等圆,双侧瞳孔
疼痛,臀部
骨折,右侧坐骨
骨折,右侧耻骨
肿胀,臀部
肿胀,会阴部
骨折,右侧坐骨
骨折,右侧耻骨
疼痛,双膝关节
肿胀,双膝关节
畸形,双膝关节
畸形,双膝关节
畸形,双膝关节
疼痛,口唇
疼痛,颈胸部
疼痛,右上肢及右膝
正大等圆,双侧瞳孔
破溃,下口唇皮肤
出血,下口唇皮肤
肿胀,左颈部
肿胀,左胸部
肿胀,右上肢
疼痛,右侧肘部
出血,右侧肘部
血肿,头皮
血肿,右侧枕顶部
肿胀,右侧眼睑
正大等圆,双侧瞳孔
血肿,右侧枕顶部
疼痛,双下肢
肿胀,头颅
