entity_head,entity_tail
出血,下唇右侧内黏膜
包块,肝
包块,脾
包块,肋下
包块,全腹
溃疡,造瘘口
红肿,造瘘口
包块,全腹
水肿,双下肢
疼痛,双上肢
畸形,头颅五官
畸形,脊柱
畸形,四肢
渗出,右髋部
红肿,右髋部
渗出,右髋部
裂开,右髋部
溃疡,造瘘肠管
红肿,造瘘肠管
包块,全腹
水肿,双下肢
黄染,周身皮肤黏膜
出血点,周身皮肤黏膜
瘀斑,周身皮肤黏膜
肿大,周身浅表淋巴
溃疡,造瘘肠管
红肿,造瘘肠管
包块,全腹
畸形,头颅
渗出,右侧胸壁腋前线
包块,全腹
水肿,双下肢
畸形,鼻
水肿,双下肢
麻木,肢体
肿胀,左手指
红肿,皮缘
疼痛,双膝关节
包块,全腹
水肿,双下肢
疼痛,咽部
肿胀,右侧眼睑
肿胀,右侧面颧部
肿大,右侧下颌淋巴结
充血,咽部
渗出,右侧肘部
疼痛,双侧大腿
渗出,头部
苍白,结膜
黄染,巩膜
肿大,甲状腺
静脉曲张,腹壁
肿大,肝
肿大,脾
包块,腹部
隆起,双侧肋脊角
肿块,左肾区
肿胀,耻骨上膀胱区
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
畸形,尿道外口
红肿,尿道外口
狭窄,尿道外口
结节,双侧附睾
苍白,结膜
黄染,巩膜
畸形,胸廓
包块,腹部
隆起,双侧肋脊角
肿胀,耻骨上膀胱区
红肿,外阴
隆起,双侧肋脊角
肿块,双肾区
隆起,耻骨上膀胱区
红肿,尿道外口
结节,双侧附睾
隆起,双侧肋脊角
肿块,双肾区
隆起,耻骨上膀胱区
红肿,尿道外口
结节,双侧附睾
渗出,右下腹
红肿,手术切口皮缘
渗出,腹
包块,全腹
畸形,脊柱
隆起,脊肋角
畸形,肛门外
包块,右腹股沟部
红肿,右腹股沟部
渗出,右腹股沟部
隆起,双肾区
肿块,双肾区
隆起,耻骨上膀胱区
畸形,脊柱
畸形,四肢
水肿,双下肢
畸形,脊柱
畸形,四肢
包块,全腹
畸形,头颅五官
畸形,胸廓
隆起,心前区
静脉曲张,腹壁
肿大,肝
肿大,脾
包块,腹部
畸形,脊柱
畸形,四肢
水肿,双下肢
隆起,双肾区
隆起,耻骨上膀胱区
静脉曲张,腹壁
水肿,双下肢
肿大,肝
肿大,脾
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
红肿,尿道外口
狭窄,尿道外口
肿大,肝
肿大,脾
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
红肿,尿道外口
狭窄,尿道外口
隆起,双侧肋脊角
肿块,右肾
肿块,左肾区
肿胀,耻骨上膀胱区
隆起,心前区
静脉曲张,腹壁
肿大,肝
肿大,脾
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
畸形,尿道外口
红肿,尿道外口
狭窄,尿道外口
畸形,脊柱
畸形,四肢
水肿,双下肢
渗出,左手环指
畸形,脊柱
畸形,四肢
水肿,双下肢
出血,肛门
肿胀,肛门
渗出,肛门
静脉曲张,腹壁
水肿,双下肢
肿大,肝
肿大,脾
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
红肿,尿道外口
狭窄,尿道外口
静脉曲张,腹壁
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
红肿,尿道
狭窄,尿道
静脉曲张,腹壁
水肿,双下肢
肿大,肝
肿大,脾
肿大,腹部
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
渗出,尿道外口
红肿,尿道外口
狭窄,尿道外口
静脉曲张,腹壁
水肿,双下肢
肿大,肝
肿大,脾
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
渗出,尿道外口
红肿,尿道外口
肿胀,表面皮肤
出血,表面皮肤
水肿,双下肢
畸形,头颅
隆起,双侧肾区
肿块,双侧肾区
肿胀,双侧输尿管走行区
破溃,皮肤
畸形,脊柱
畸形,四肢
畸形,脊柱
畸形,四肢
水肿,双下肢
苍白,结膜
黄染,巩膜
畸形,胸廓
包块,腹部
隆起,双侧肋脊角
渗出,左肾
肿胀,耻骨上膀胱区
静脉曲张,腹壁
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
红肿,尿道外口
狭窄,尿道外口
肿大,甲状腺
畸形,胸廓
隆起,心前区
静脉曲张,腹壁
肿大,肝
肿大,脾
包块,腹部
畸形,脊柱
畸形,四肢
畸形,脊柱
畸形,四肢
水肿,双下肢
畸形,脊柱
畸形,四肢
疼痛,双下肢
水肿,双下肢
包块,腹部
肿大,肝脾胃
包块,腹部
红肿,腹
渗出,腹
畸形,胸廓
隆起,心前区
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
畸形,尿道外口
结节,附睾
肿大,甲状腺
畸形,胸廓
静脉曲张,腹壁
水肿,双下肢
肿大,肝
肿大,脾
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
渗出,尿道外
红肿,尿道外
狭窄,尿道外
静脉曲张,腹壁
水肿,双下肢
肿大,肝
肿大,脾
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
渗出,尿道外口
红肿,尿道外口
狭窄,尿道外口
隆起,双侧肋脊角
肿块,双肾区
畸形,尿道外口
结节,双侧附睾
疼痛,右肾区
畸形,头颅
水肿,眼睑
苍白,结膜
黄染,巩膜
肿大,扁桃体
肿大,甲状腺
畸形,胸廓
隆起,心前区
静脉曲张,腹壁
肿大,肝
肿大,脾
包块,腹部
畸形,脊柱
畸形,四肢关节
水肿,双下肢
隆起,双肾区
肿块,双肾区
肿块,双肾区
隆起,耻骨上膀胱区
出血,阴茎
渗出,阴茎
畸形,尿道外口
红肿,尿道外口
狭窄,尿道外口
肿胀,左肩部
红肿,前胸部局部软组织
水肿,双下肢
畸形,胸廓
肿胀,左侧胸部
静脉曲张,腹壁
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
畸形,头颅
肿胀,头顶部右侧
肿胀,左肘部
畸形,头颅
肿胀,右腹股沟
畸形,头颅
渗出,右手内侧
包块,肝
包块,脾
包块,肋下
包块,全腹
黄染,周身皮肤黏膜
出血点,周身皮肤黏膜
瘀斑,周身皮肤黏膜
肿大,周身浅表淋巴结
溃疡,造瘘肠管
红肿,造瘘肠管
包块,腹
包块,全腹
水肿,双下肢
肿大,甲状腺
畸形,胸廓
隆起,心前区
震颤,心前区
静脉曲张,腹壁
肿大,腹
肿大,肝
肿大,脾
包块,腹部
隆起,双侧肋脊角
肿块,双肾区
肿胀,耻骨上膀胱区
畸形,尿道外口
红肿,尿道外口
狭窄,尿道外口
结节,双侧附睾
畸形,脊柱
畸形,四肢
畸形,头颅五官
黄染,全身皮肤黏膜
肿大,周身浅表淋巴结
畸形,头颅
浮肿,眼睑
畸形,鼻
苍白,口唇
充血,咽
静脉怒张,颈
异常搏动,颈动脉
畸形,胸廓
隆起,心前区
震颤,心前区
静脉曲张,腹壁
震颤,腹
肿大,肝脾胃
包块,腹部
畸形,脊柱
黄染,周身皮肤黏膜
瘀斑,周身皮肤黏膜
肿大,周身浅表淋巴结
溃疡,造瘘肠管
红肿,造瘘肠管
包块,全腹
水肿,双下肢
黄染,周身皮肤黏膜
瘀斑,周身皮肤黏膜
溃疡,造瘘肠管
红肿,造瘘肠管
包块,全腹
水肿,双下肢
畸形,头颅
黄染,周身皮肤粘膜
瘀斑,周身皮肤粘膜
肿大,周身浅表淋巴结
包块,全腹
水肿,双下肢
黄染,皮肤、粘膜
瘀斑,皮肤、粘膜
肿大,周身浅表淋巴结
