entity_head,entity_tail
MRI,颈椎
压痛,右髋部
压痛,上腹部
反跳痛,上腹部
肌紧张,上腹部
压痛,全腹
反跳痛,全腹
肌紧张,全腹
触痛,右胸部
肌力,右下肢
肌力,余肢体
肌张力,余肢体
病理性杂音,各瓣膜听诊区
压痛,全腹
反跳痛,全腹
肌紧张,全腹
呼吸音,双肺
啰音,双肺
病理性杂音,各瓣膜听诊区
压痛,全腹
反跳痛,全腹
肌紧张,全腹
对光反射,双侧瞳孔
压痛,胸壁局部软组织
叩清音,双肺
压痛,腹
呼吸音,双肺
干湿性啰音,双肺
压痛,腹
反跳痛,腹
肌紧张,腹
对光反射,双侧瞳孔
压痛,右眼部
压痛,鼻部
压痛,右面皮下
压痛,颈部后侧
压痛,右手小指
呼吸音,双肺
啰音,双肺
病理性杂音,各瓣膜听诊区
压痛,全腹
反跳痛,全腹
肌紧张,全腹
压痛,腰部
压痛,头颅
压痛,臀部
压痛,会阴部
挤压试验,骨盆
压痛,皮缘
呼吸音,双肺
干湿性啰音,双肺
对光反射,双侧瞳孔
呼吸音,双肺
啰音,双肺
病理性杂音,各瓣膜听诊区
压痛,全腹
反跳痛,全腹
肌紧张,全腹
移动性浊音,全腹
对光反射,双眼瞳孔
肌力,四肢
肌张力,四肢
对光反射,双眼瞳孔
压痛,腹
肌力,四肢
肌张力,四肢
压痛,头颅
压痛,左肘关节
对光反射,双眼瞳孔
对光反射,双侧瞳孔
呼吸音,双肺
干湿性啰音,双肺
杂音,各瓣膜听诊区
压痛,腹部
反跳痛,腹部
肌紧张,腹部
叩击痛,右肾区
叩击痛,左肾区
压痛,腹部
压痛,耻骨上膀胱区
压痛,耻骨上膀胱区
压痛,腹
反跳痛,腹
肌紧张,腹
叩击痛,双肾区
压痛,腹部
压痛,耻骨上膀胱区
触痛,两侧阴囊
触痛,双侧睾丸
呼吸动度,胸廓
双侧语颤,胸廓
皮下捻发音,胸廓
叩音,双肺
呼吸音,双肺
干湿性啰音,双肺
叩击痛,双肾区
压痛,耻骨上膀胱区
压痛,双肾区
叩击痛,双肾区
压痛,双侧输尿管
压痛,耻骨上膀胱区
触痛,两侧阴囊、睾丸
对光反射,双侧瞳孔
呼吸音,双肺
干湿性啰音,双肺
压痛,腹
反跳痛,腹
肌紧张,腹
生理反射,脊柱
生理反射,四肢
病理反射,脊柱
病理反射,四肢
呼吸音,双肺
干湿性啰音,双肺
