entity_head,entity_tail
压痛,肿胀
压痛,肿胀
查体,咽痛
压痛,疼痛
压痛,红肿
压痛,破溃
压痛,肿胀
压痛,红肿
压痛,红肿
压痛,肿胀
压痛,肿胀
压痛,短缩畸形
叩击痛,外旋内收畸形
触痛,肿胀
胸部正位DR片,出血
胸部正位DR片,胸痛
胸部正位DR片,胸闷
胸部正位DR片,气短
胸部正位DR片,呼吸困难
压痛,肿胀
头颅和鼻骨，肝胆脾胰CT,头痛
头颅和鼻骨，肝胆脾胰CT,头晕
头颅和鼻骨，肝胆脾胰CT,出血
头颅和鼻骨，肝胆脾胰CT,疼痛
头颅和鼻骨，肝胆脾胰CT,疼痛
查体,肿胀
体温,肿胀
脉搏,肿胀
血压,肿胀
压痛,肿胀
压痛,肿胀
压痛,肿胀
压痛,肿胀
骨盆正位片,疼痛
压痛,肿胀
头颅CT,疼痛
头颅CT,出血
胸部及腹部CT,疼痛
胸部及腹部CT,出血
压痛,血肿
压痛,肿胀
左肘关节正侧位,畸形
左尺桡骨正侧位,畸形
左侧股骨正侧位,畸形
压痛,结节
触痛,肿胀
压痛,肿胀
压痛,肿胀
右手正斜位,头痛
右手正斜位,头晕
右手正斜位,恶心
右手正斜位,疼痛
压痛,裂伤
触痛,肿胀
触痛,肿胀
触痛,肿胀
触痛,肿胀
触痛,疼痛
触痛,红肿
触痛,肿胀
触痛,红肿
压痛,肿大
彩超,疼痛
左髋X光片,肿胀
左髋X光片,锐痛
压痛,肿胀
CT肋骨三维重建,胸痛
CT肋骨三维重建,憋气
腰椎X光片,疼痛
腰椎X光片,锐痛
腰椎X光片,麻木
腰椎X光片,疼痛
胸部X光片,肿胀
胸部X光片,锐痛
胸部X光片,出血
胸部X光片,头晕
压痛,肿胀
压痛,肿胀
压痛,瘀斑
压痛,肿胀
触痛,肿胀
触痛,肿胀
触痛,肿胀
彩超,疼痛
彩超,疼痛
压痛,肿胀
压痛,肿胀
右膝关节DR,疼痛
右膝关节DR,红肿
全腹CT,疼痛
全腹CT,肿胀
压痛,红肿
压痛,红肿
触痛,包块
