entity_head,entity_tail
下腹部平扫,腹腔
下腹部平扫,腹膜后多发淋巴结
颈胸腹部，CT,食管下段
腹部B超,回盲部
腹部B超,肝左叶
下消化道钡餐,两肺
下腹部，CT,肝右内叶
CT,肝
胸腹部CT,食管下段
胸腹部CT,气管
胸腹部CT,食管下段周围多发肿大淋巴结
胸腹部CT,下腹部贲门周围一淋巴结
胸腹部CT,两上肺
胸腹部CT,两侧胸腔
胸腹部CT,左侧甲状腺
胸腹部CT,甲状腺
胸部CT平扫+，增强,主动脉弓
胸部CT平扫+，增强,右上上肺
胸部CT平扫+，增强,食管
胸部CT平扫+，增强,纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结
全腹部CT,胃体部大弯、小弯壁
全腹部CT,肝胃间隙
全腹部CT,腹膜后
全腹部CT,淋巴结
CT,左肺
腹部彩超,肝
腹部彩超,右上腹
腹部B超,脾
腹部B超,肝
腹部B超,胆囊
腹部B超,胰体
腹部B超,肾
腹部B超,腹腔
B超,左侧卵巢
B超,腹
CT,胃
CT,食管
腹部CT,肝脏
MR,直肠
PET-CT,肝
腹盆部CT,阴道
胸、腹、，盆腔CT,两肺上叶
胸、腹、，盆腔CT,直肠壁
腹部CT,胃
腹部CT,幽门
CT,肝脏
腹部CT,横结肠近脾区肠壁
全腹部增强CT,末端回肠
腹盆，CT,盆腔
腹部，CT,乙状结肠
腹部CT,腹腔
腹部CT,结肠肝曲
CT,肝左叶
CT,盆腔
CT,两侧髂
PET/CT,两髂
PET/CT,两闭孔
CT,脾
CT,脾
PET/CT,右颈部V区
PET/CT,左髂血管
PET/CT,左侧腹股沟区
PET/CT,脾
PET/CT,中轴骨
PET/CT,骨盆
腹部CT,胰头
腹部CT,乳头
上腹部CT,乙状结肠壁
胸部ct,左肺上叶纵膈
胸部ct,纵膈
胸部ct,食管下段
B超,右附件
MRI,右附件
PET-CT,右附件
PET-CT,子宫直肠窝
PET-CT,左中腹部肠系膜间
PET-CT,肝
PET-CT,胸
腹部B超,脾
腹部B超,肝
腹部B超,胆囊
腹部B超,胰体
腹部B超,肾
腹部B超,腹腔
冠脉造影,右冠
冠脉造影,前降支中段
冠脉造影,第一对角支近段
PET/CT,肝门区
PET/CT,肝左后叶
PET/CT,腹腔淋巴结
PET/CT,第10棘突
胸部+全腹部+盆腔CT,直肠
胸部+全腹部+盆腔CT,乙状结肠
胸部+全腹部+盆腔CT,肠
胸部CT,左肺上叶
胸部CT,纵隔
胸部CT,两肺
胸部CT,锁骨
胸部CT,左侧锁骨头
胸部CT,左侧肩胛骨
胸部CT,颈椎
胸部CT,胸椎
胸部CT,肋骨
胸部CT,骨
胸部CT,两肺
MRI,颈3、4、5、7
MRI,胸4椎体及附件
MRI,椎间盘
MRI,甲状腺两侧叶
CT,肝脏
CT,肠
腹部CT增强,胃窦壁
腹部CT增强,中上腹部
腹部CT增强,小肠管壁
腹部CT增强,腹腔
腹部CT增强,盆腔
腹部CT增强,腹膜后
CT,两肺
CT,肺
PET/，CT,吻合口
PET/，CT,右侧髂总血管
PET/，CT,右侧输尿管
PET/，CT,右肾盂
PET/，CT,右输尿管
PET/，CT,肝S1
心脏彩超,右房
心脏彩超,室间隔
心脏彩超,右室后壁
心脏彩超,左室
髂总动脉CTA,两侧髂总动脉
髂总动脉CTA,两侧股动脉
髂总动脉CTA,两上肢
髂总动脉CTA,右上肢
髂总动脉CTA,左上肢
超声,子宫
超声,两附件
PET/CT,骶前
腹部彩超,胆囊
腹部彩超,脾
PET-CT,腹
CT,左髂血管
CT,左腹股沟
CT,腹股沟淋巴结
腹盆CT,左侧髂血管旁及左侧腹股沟淋巴结
腹部mri,肝右叶vii段
冠脉造影,左前降支中段
胸、腹部，CT,胸中段食管
锁骨下B超,食管
CT,纵隔
CT,胃
CT,食管
b超,甲状腺
b超,右颈淋巴结
b超,左颈淋巴结
b超,左颈
查体,胃管
查体,胃液
查体,头颅
查体,双侧瞳孔
查体,右侧胸壁腋前线
查体,胸壁局部软组织
查体,双侧瞳孔
查体,右眼部
查体,鼻部
查体,右面皮下
查体,颈部后侧
查体,背部
查体,右手小指
查体,头颅
查体,双侧瞳孔
查体,胸肺腹
查体,臀部
查体,会阴部
查体,骨盆
查体,胸肺腹
骨盆正位片,尺骨支
骨盆正位片,坐骨支
查体,双肺
查体,双膝关节
查体,左膝关节
查体,右膝关节
查体,双踝关节
查体,足背动脉
查体,足趾
查体,头颅枕顶部
查体,头皮
查体,右侧眼睑
查体,双眼瞳孔
查体,右侧面颧部
查体,右侧下颌淋巴结
查体,咽部
查体,右侧肘部
查体,双眼瞳孔
查体,心
查体,肺
查体,腹
查体,头颅
查体,左肘关节
查体,肘部
查体,腕部
查体,头部
查体,双眼瞳孔
查体,四肢
查体,前臂
查体,结膜
查体,巩膜
CT检查,胆囊
查体,双侧瞳孔
查体,双侧瞳孔
查体,心
