entity_head,entity_tail
下腹部平扫,胃肿瘤
颈胸腹部，CT,食管癌，伴右侧锁骨下窝、食管旁沟及纵膈内多发淋巴结转移
颈胸腹部，CT,食管憩室
PET-CT,胃窦部MT伴胃周淋巴结转移
下腹部，CT,肝转移瘤
下腹部，CT,两肾多发囊肿
腹部CT平扫+，增强,胃大部切除术后
CT,食管上段贲门CA
CT,肝多发囊肿
CT,贲门腺癌
胸腹部CT,食管癌
胸部CT平扫+，增强,食管癌
胸部CT平扫+，增强,食管癌
胸部CT平扫+，增强,食管中上段鳞癌
全腹部CT,胃CA侵出浆膜层并网膜种植转移
CT,胃贲门癌术后
腹部彩超,肝囊肿
腹部彩超,胆囊息肉
腹部彩超,脂肪瘤
B超,卵巢癌
CT,食道癌术后
胸、腹、，盆腔CT,肝多发囊肿
胸、腹、，盆腔CT,肾囊肿
胸、腹、，盆腔CT,直肠CA
腰骶部平扫,腰1压缩性骨折
腰骶部平扫,腰椎退行性变
腰骶部平扫,腰2/3、3/4、4/5椎间盘突出
腰骶部平扫,腰4/5水平双侧隐窝狭窄
腰骶部平扫,骶1-3水平椎管局限性膨大
腰骶部平扫,不除外骶管囊肿
腹部CT,胆囊结石
CT,网膜及系膜多发肿瘤转移
全腹部增强CT,结肠CA伴卵巢转移术后
全腹部增强CT,小肠梗阻
腹部，CT,乙状结肠CA（浸润型）
腹部CT,腹腔积液
CT,胆总管结石
腹部CT,结肠癌并腹腔淋巴结转移
CT,肝癌
MRI,肝左叶巨块型MT
腹部，CT,肝MT术后
腹部，CT,肝脏囊肿
CT,肠套叠
CT,淋巴瘤
CT,左上腹回-回肠套叠
CT,小肠淋巴瘤
CT,淋巴瘤
PET/CT,淋巴瘤
PET/CT,淋巴瘤
CT,胰腺囊腺癌
胸部CT,肺部转移
MRI,肝内胆管扩张
MRI,肝内胆管癌
CT,肝S4、8转移瘤
腹盆MR,升结肠癌
B超,肝母细胞瘤
B，超,肝母细胞瘤
腹部(CT平扫+增强),肝母细胞瘤术后
腹盆腔强化CT,胆囊管结石
腹盆腔强化CT,前列腺增生
盆腔MR,盆腔右侧附件区占位
盆腔MR,盆腔少量积液
腹部CT,胃癌
腹部彩超,肝硬化部分切除术后
腹部彩超,肝硬化
腹部彩超,胆囊切除术后
腹部彩超,腹腔积液（少量）
心电图,窦性心律
下腹部MRI,肝CA
MR,肝CA治疗后
下腹部CT,胆总管上段多发结石
下腹部CT,肝内外胆管扩张
心电图,窦性心律
腹部彩超,急性阑尾炎
上肢静脉造影,左髂总静脉血栓
上肢静脉造影,右腘静脉附壁血栓
上肢静脉造影,右下下肺动脉栓塞
心电图,窦性心律
腹部立位片,不完全性肠梗阻
腹部，CT,慢性胰腺炎急性发作
胆囊术后CT,脂肪肝
腹部，CT,胆囊多发小结石
腹部，CT,胆囊炎
胸部CT,两肺上叶炎症
胸部CT,胸腔积液
胸部CT,胃癌并发转移
胸部CT,胆囊多发小结石
胸部CT,胆囊炎
腹部，CT,两肺上叶炎症
腹部，CT,胸腔积液
腹部，CT,胃癌并发转移
腹部，CT,胆囊多发小结石
腹部，CT,胆囊炎
脑、肺CT,左肺下叶病变
脑、肺CT,两肺炎症伴纤维灶
脑、肺CT,两肺上叶钙化灶
脑、肺CT,肺气肿
脑、肺CT,心包积液、两侧胸腔积液
脑DWI,左侧大脑半球多发急性梗塞灶
脑DWI,急性脑梗死
脑DWI,高血压病（2级 很高危）
脑DWI,冠状动脉粥样硬化性心脏病
脑DWI,心房颤动
脑DWI,肺炎
脑DWI,两侧胸腔积液
脑DWI,心包积液
脑DWI,慢性肾功能不全
脑DWI,胃CA术后
脑DWI,直肠CA术后
B超,胆囊泥沙样结石
B超,胆总管末端可疑结石
MRI检查,胆囊泥沙样结石
MRI检查,胆总管末端可疑结石
超声,膀胱占位病变
CT,膀胱占位病变
MRI,盆腔内囊实性占位病变
MRI,浆液性囊腺癌
腹部CT,肝左叶后段病灶，考虑转移可能
腹部CT,肝左叶转移灶
盆腔彩超,卵巢癌复发伴左输尿管受累
血糖,糖尿病
血糖,糖尿病
心脏彩超,心房颤动
心脏彩超,高血压性心脏病 心脏扩大 心房纤颤
心电图,快速房颤
CT,肝转移
CT,结肠癌
末梢血糖,糖尿病糖尿病酮症酸中毒
末梢血糖,下消化道出血
尿糖,糖尿病糖尿病酮症酸中毒
尿糖,下消化道出血
酮体,糖尿病糖尿病酮症酸中毒
酮体,下消化道出血
蛋白质,糖尿病糖尿病酮症酸中毒
蛋白质,下消化道出血
PH,糖尿病糖尿病酮症酸中毒
PH,下消化道出血
BE,糖尿病糖尿病酮症酸中毒
BE,下消化道出血
LAC,糖尿病糖尿病酮症酸中毒
LAC,下消化道出血
HCO3-,糖尿病糖尿病酮症酸中毒
HCO3-,下消化道出血
隐血试验,糖尿病糖尿病酮症酸中毒
隐血试验,下消化道出血
胰岛素（空腹）,1型糖尿病糖尿病酮症酸中毒
胰岛素（2H）,1型糖尿病糖尿病酮症酸中毒
C肽（空腹）,1型糖尿病糖尿病酮症酸中毒
C肽（2H）,1型糖尿病糖尿病酮症酸中毒
上肢深静脉彩超,左上肢深静脉血栓形成
CT,膀胱术后
CT,膀胱癌根治术后
CT,膀胱术后
CT,腹膜种植
CT,肝内外胆管多发结石伴胆管扩张
CT,慢性肝病
B超,肝内胆管及胆总管多发结石伴远端胆管扩张
心脏彩超,心包腔积液
胸片,左下肺感染性病变
胸片,肺气肿
胸片,胸腔积液
胸片,胸膜增厚
胸片,胸椎骨质增生
胸部CT,左下叶感染
胸部CT,两上肺支气管扩张伴感染
胸部CT,囊性病变
胸部CT,支气管囊肿
胸部CT,心包囊肿
胸部CT,心包积液
胸部CT,囊性畸胎瘤
胸部CT,慢支炎
胸部CT,肺气肿
胸部CT,胸腔积液
胸部CT,慢性阻塞性肺病（急性加重期）
胸部CT,肺源性心脏病
胸部CT,冠心病
胸部CT,缺血性心肌病型
胸部CT,心房纤颤
胸部CT,心衰
胸部CT,心包腔积液
胸部CT,心功能Ⅲ级
胸部CT,支气管扩张
下腹部CT,胆总管上段多发结石
下腹部CT,肝内外胆管扩张
胸部ct,食管鳞癌
胸部ct,食管癌
头胸部CT,两侧半卵圆中心及两侧基底节区腔隙性脑梗死
头胸部CT,陈旧性腔隙性脑梗死
头胸部CT,脑干陈旧性腔隙性脑梗死
MRI,卵巢癌
PET-CT,卵巢癌
