entity_head,entity_tail
心率,律齐
查体,畸形
查体,正大等圆
查体,渗出
查体,正大等圆
查体,肿胀
查体,肿胀
查体,血肿
查体,正大等圆
骨盆正位片,骨折
查体,律齐
查体,肿胀
心脏听诊,律齐
查体,血肿
心率,律齐
心率,律齐
查体,正大等圆
心率,律齐
查体,正大等圆
心率,律齐
查体,肿胀
查体,肿大
心率,律齐
心率,律齐
心率,律齐
查体,对称
心率,律齐
心率,律齐
心率,律齐
心率,律齐
心率,律齐
心率,律齐
心率,律齐
心率,律齐
查体,对称
心率,律齐
心率,律齐
心率,律齐
查体,对称
左髋部X光片,骨折
右髋关节正位片,骨折
CT,渗出
心率,律齐
眼眶CT,肿胀
心率,律齐
眼眶CT,肿胀
心率,律齐
右髋关节正位,骨折
心率,律齐
心率,律齐
查体,膨隆
头颅和鼻骨，肝胆脾胰CT,骨折
头颅、鼻骨、肝胆脾胰CT,骨折
鼻骨CT,骨折
颧弓CT,骨折
鼻骨CT,骨折
颧弓CT,骨折
心率,律齐
骨盆正位片,骨折
骨盆正位片,骨折
骨盆正位片,骨折
骨盆正位片,骨折
心率,律齐
查体,破溃
查体,出血
查体,肿胀
查体,肿胀
查体,肿胀
查体,血肿
查体,肿胀
查体,正大等圆
头颅CT,血肿
查体,肿胀
查体,正大等圆
查体,正大等圆
头颅CT,骨折
体温,寒战
体温,发热
心率,律齐
心率,律齐
心率,律齐
彩超,结节
心率,律齐
心率,律齐
心率,律齐
彩超,肿大
右手正斜位,骨折
查体,正大等圆
查体,裂伤
查体,正大等圆
查体,裂伤
对光反射,正大等圆
右手正斜位,骨折
查体,正大等圆
心率,律齐
肋骨三维重建,骨折
心率,律齐
支气管镜,隆起
支气管镜,出血
胸部CT,结节
胸部CT,结节
超声,肿大
心率,律齐
心率,律齐
放射痛,疼痛
心率,律齐
放射痛,疼痛
心率,律齐
查体,正大等圆
左手正斜位,骨折
左髋部X光片,骨折
左膝关节正侧位X光片,骨折
心率,律齐
心率,律齐
心率,律齐
CT肋骨三维重建,骨折
查体,正大等圆
腰椎CT,狭窄
查体,正大等圆
放射痛,疼痛
心率,律齐
心率,律齐
头颅及胸部上腹部 CT,血肿
查体,正大等圆
查体,出血
心率,律齐
胸部CT,结节
心率,律齐
CT,出血
心率,律齐
头部颈椎腰椎CT,骨折
CT,骨折
心率,律齐
心率,律齐
心率,律齐
心率,律齐
心率,律齐
心率,律齐
心率,律齐
心率,律齐
查体,正大等圆
查体,正大等圆
查体,正大等圆
查体,律齐
心率,律齐
头颅CT,骨折
胸椎核磁,骨折
肋骨CT,骨折
查体,充血
查体,肿大
查体,充血
查体,肿大
查体,充血
查体,充血
查体,肿大
查体,充血
查体,疱疹
查体,肿大
查体,疱疹
查体,充血
查体,肿大
查体,充血
查体,肿大
查体,充血
查体,肿大
查体,充血
查体,肿大
查体,充血
查体,肿大
查体,充血
查体,肿大
查体,充血
查体,充血
查体,肥大
查体,充血
查体,充血
查体,肿大
查体,充血
查体,肿大
腹部彩超,结节
查体,充血
查体,肿大
查体,充血
查体,充血
查体,肿大
查体,充血
查体,肿大
查体,肿大
查体,充血
查体,肿大
心率,律齐
肌紧张,肿大
叩击痛,隆起
叩击痛,肿块
压痛,肿胀
叩击痛,隆起
叩击痛,肿块
压痛,肿胀
触痛,对称
触痛,对称
触痛,对称
肌力,畸形
肌力,发热
肌张力,畸形
肌张力,红肿
肌张力,发热
生理反射,畸形
病理反射,畸形
病理反射,发热
BP,正大等圆
BP,律齐
对光反射,正大等圆
呼吸音,正大等圆
呼吸音,发绀
湿啰音,发绀
心率,发绀
病理性杂音,正大等圆
病理性杂音,发绀
病理性杂音,律齐
压痛,膨隆
呼吸音,律齐
啰音,包块
压痛,包块
反跳痛,律齐
呼吸音,律齐
啰音,律齐
心率,律齐
移动性浊音,律齐
对光反射,正大等圆
对光反射,畸形
对光反射,肿胀
对光反射,正大等圆
触痛,畸形
对光反射,正大等圆
压痛,红肿
杂音,律齐
叩音,畸形
呼吸音,畸形
对光反射,正大等圆
对光反应,等大等圆
查体,畸形
胸部CT,骨折
对光反射,正大等圆
心率,律齐
杂音,律齐
肠鸣音,肿胀
压痛,肿胀
压痛,肿胀
呼吸音,肿胀
