entity_head,entity_tail
左大腿中下段截肢手术,左下肢
左桡骨远端骨折切开复位内固定术,左侧尺桡骨远端
左侧股骨骨折切开复位内固定术,左侧股骨
碎石取石术,右肾
碎石取石术,右肾
含服硝苯地平片,舌下
阑尾切除术,右下腹
直肠癌切除术,肠道
直肠癌切除术,腹部
抗感染、止咳化痰,痰
抗感染、止咳化痰,痰
石蜡油,胃管
右膝关节表面置换术,右膝关节
左膝关节表面置换术,左膝关节
表柔比星,膀胱
灭菌用水,膀胱
表柔比星,膀胱
布地奈德,气道
沙丁胺醇,气道
头孢哌酮,气道
布地奈德,气道
沙丁胺醇,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德雾,气道
布地奈德,气道
沙丁胺醇,气道
布地奈德,气道
沙丁胺醇,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,呼吸道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
蜜炼川贝枇杷膏,痰
孟鲁斯特咀嚼片,痰
布地奈德,气道
蜜炼川贝枇杷膏,痰
布地奈德,气道
盐酸氨溴索注射液,痰
布地奈德,气道
沙丁胺醇,气道
氨溴特罗,痰
复方鲜竹沥,痰
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
氨溴索,痰
川贝清肺,痰
布地奈德,气道
布地奈德,气道
沙丁胺醇,气道
布地奈德,气道
布地奈德,气道
沙丁胺醇,气道
布地奈德,气道
布地奈德,气道
布地奈德,气道
0.9%氯化钠注射液,脑血管
胞磷胆碱注射液,脑血管
5%葡萄糖注射液,脑血管
银杏达莫注射液,脑血管
牛黄清心丸,血压
中成药物大活络丸,腰部
20%甘露醇,神经根
加地塞米松注射液,神经根
0.9%氯化钠注射液,腰部
地塞米松注射液,腰部
0.9%氯化钠注射液,腰部
鹿瓜多肽注射液,腰部
甘露醇,腰部
0.9%氯化钠注射液,腰部
鹿瓜多肽注射液,腰部
麻仁滋脾丸,胃肠
鹿瓜多肽,腰部
0.9%氯化钠注射液,腰部
大活络丸,腰部
0.9%氯化钠注射液,静脉
0.9%氯化钠注射液,头、颈部血管
银杏达莫注射液,静脉
银杏达莫注射液,头、颈部血管
0.9%氯化钠注射液,静脉
0.9%氯化钠注射液,头、颈部血管
罂粟碱注射液,静脉
罂粟碱注射液,头、颈部血管
0.9%氯化钠注射液,静脉
0.9%氯化钠注射液,颈部
鹿瓜多肽注射液,静脉
鹿瓜多肽注射液,颈部
中成药大活络丸,颈部
5%葡萄糖注射液,心肌
银杏达莫注射液,心肌
中成药物大活络丸,腰部
前列腺激光汽化术,尿道
沙丁胺醇,气道
多索茶碱,气道
茶碱缓释片,心脏
硝酸甘油注射液,心脏
盐酸氨溴索葡糖糖注射液,痰
泮托拉唑,胃黏膜
多索茶碱,支气管
呋塞米,心脏
螺内酯,心脏
氨茶碱、茶碱缓释片,支气管
泮托拉唑,胃黏膜
氨曲南,气道
多索茶碱,气道
中药泻心汤,胃
注射用奥美拉唑,胃黏膜
泮托拉唑,胃黏膜
长春西汀注射液,脑血管
泮托拉唑抑酸,胃粘膜
多索茶碱,支气管
亚叶酸钙,肝
替加氟,肝
胃癌根治术,腹腔
胃癌根治术,腹
胃癌根治术,腹
胃癌根治术,肝脏
胃癌根治术,胃底部
胃癌根治术,小弯侧
全胃切除，空肠J字代胃术,腹腔
