entity_head,entity_tail
腹腔镜直肠癌根治术,（直肠）腺癌（中度分化），浸润溃疡型
右半结肠切15除术,结肠腺癌（中度分化），溃疡型
胰十二指肠切除术,壶腹部鳞状细胞癌（低度分化）
肝囊肿开窗引流,壶腹部鳞状细胞癌（低度分化）
肝活检术,壶腹部鳞状细胞癌（低度分化）
腹腔镜上根治性全胃切除术,食管胃交界溃疡型管状腺癌II－III级
腹腔粘连松解术+部分大网膜切除术+广泛全子宫+两侧卵巢移位术+盆腔淋巴结清扫术,宫颈浸润型鳞状细胞癌II级
胃癌根治术,中分化腺癌
胃癌根治术,腺癌
腹腔镜上根治性远端胃切除术,胃窦溃疡型低黏附性癌（印戒细胞癌为主，部分为未分化癌及黏液腺癌）
左半结肠切除术,中分化腺癌
左半结肠切除术,腺癌
胃癌根治术,胃低粘附性癌
胃癌根治术,低分化腺癌
远端胃切除术,胃低粘附性癌
远端胃切除术,低分化腺癌
胃癌根治术,低分化腺癌
胃癌根治术,低分化腺癌
贲门癌根治术,贲门腺癌（中度分化），浸润溃疡型
根治性远端胃大部切除、毕II式吻合术,胃窦部腺癌(中、低度分化)
姑息性近端胃大部切除、幽门成形术,胃癌
姑息性近端胃大部切除、幽门成形术,贲门腺癌（中度分化），浸润溃疡型
B超引导上经直肠前列腺穿刺活检,前列腺癌GLEANSON分级III级
胃癌切除术,溃疡型低分化腺癌，伴印戒细胞癌，LAUREN，分型：弥漫型
正中开腹根治性全胃切除+食管-空肠ROUX-EN-Y吻合+空肠造瘘+脾切除术,食管-胃交界处溃疡型混合型腺神经内分泌癌【腺癌为管状腺癌II-III级，神经内分泌肿瘤为G3型（神经内分泌癌）】
右半结肠切除术,肠低分化腺癌（印戒细胞癌）
两腔上行经颈胸腹下段食管癌切除术,食管鳞状细胞癌
腹腔镜上腹膜活检术+右侧卵巢切除术,腺癌
腹腔镜上直肠姑息性切除术+末段回肠造瘘术,大肠溃疡型管状腺癌II级
远端胃切除+B-II重建+空肠BRAUN吻合,胃粘液腺癌，LAUREN，分型：肠型
腹腔镜上乙状结肠病损切除术,结肠息肉
腹腔镜上乙状结肠病损切除术,降结肠肿瘤
腹腔镜上乙状结肠病损切除术,肠溃疡型管状腺癌II级
腹腔镜辅助胃癌根治术,中-低分化腺癌，部分为印戒细胞癌，LAUREN，分型：混合型
远端胃切除,中-低分化腺癌，部分为印戒细胞癌，LAUREN，分型：混合型
B-II重建,中-低分化腺癌，部分为印戒细胞癌，LAUREN，分型：混合型
空肠空肠Ｂｒａｕｎ吻合,中-低分化腺癌，部分为印戒细胞癌，LAUREN，分型：混合型
经腹腔镜直肠癌DIXON术,直肠癌（浆膜上层），扁平隆起型，高分化腺癌，I级
直肠癌DIXON手术,（直肠）腺癌（中、低度分化，局部伴神经内分泌分化；部分为粘液腺癌，约占30%）， 隆起型
横结肠造口术,（直肠）腺癌（中、低度分化，局部伴神经内分泌分化；部分为粘液腺癌，约占30%）， 隆起型
胃癌根治术,胃低分化腺癌
腹腔镜上根治性远端胃大部切除术,胃窦小弯侧溃疡型管状腺癌II-III级
右乳癌根治术,（右）乳腺浸润性导管癌，II级
腹腔镜辅助上乙状结肠癌根治术,(乙状)结肠蕈伞型管状腺癌II级
胃癌根治术,胃窦小弯腺癌（中度分化）
DIXON术,结肠中分化腺癌
腹腔镜辅助上根治性全胃切除（D2）+食管空肠ROUX-EN-Y吻合术,食管胃交界溃疡型管状腺癌III级，伴神经内分泌分化
胃癌根治术,胃隆起型高分化腺癌
直肠HARTMANN手术,直肠腺癌（中度分化），浸润溃疡型
剖腹探查+卵巢癌细胞减灭术（全子宫、两侧附件、大网膜、阑尾、盆腔转移灶、直肠转移灶切除+盆腔淋巴结清扫术）,左卵巢浆液性乳头状腺癌
全子宫切除术+两侧附件切除术+肿瘤细胞减灭术+骶韧带悬吊术+大网膜肿物切除术,恶性苗勒氏管混合瘤
根治性远端胃大部切除,胃窦小弯侧溃疡型中-低分化腺癌
根治性全胃切除术（食管空肠ROUX-Y吻合、D2+、R0),胃体－胃窦溃疡型管状腺癌II级
直肠MILES术,（直肠）腺癌（中度分化），浸润溃疡型
直肠癌根治术,直肠腺癌（中低度分化），部分呈粘液腺癌图像，浸润溃疡型
乙状结肠切除+右肾下腺切除术,中分化腺癌
根治性胃癌根治术+毕I式吻合,胃体、胃窦低分化腺癌
剖腹探查+胃癌根治（D2，R1）+放射性粒子植入术,（胃窦）低分化腺癌
左半结肠切除术+淋巴结清扫术,（左半结肠）中低分化腺癌
腹腔镜上直肠癌姑息性切除术DIXON,肠溃疡型管状腺癌II级
回肠造口还纳术,胃癌
回肠造口还纳术,直肠癌术后
腹腔镜辅助上根治性全胃切除术,胃体小弯侧浸润型管状腺癌II-III级，部分为粘液腺癌和低粘附性癌
腹腔镜辅助上乙状结肠癌根治术,(乙状)结肠蕈伞型管状腺癌II级
腹腔镜辅助上乙状结肠癌根治术,肝、肺、骨多发转移
阑尾切除术,浆液性乳头状囊腺癌
根治性左半结肠切除术,回盲部浸润型粘液腺癌
乙状结肠癌根治术,（乙状结肠）腺癌（中、低度分化）
腹腔镜上直肠部分切除术（姑息性）+乙状结肠造瘘术,直肠癌伴肺转移
胃癌根治术(全胃）,中至低分化腺癌，LAUREN
姑息性乙状结肠部分切除术,乙状结肠粘液腺癌
姑息性“乙状结肠切除,结肠中至低分化管状腺癌
胸腔镜上全胸段食管切除+食管-胃底右颈部吻合术,食管溃疡型鳞状细胞癌II级
胃癌根治术,胃小弯弥漫浸润性低分化腺癌
经腹全子宫+两附件切除术+阑尾切除术+大网膜切除+左侧淋巴结清扫术+盆腔粘连松解,左卵巢腺癌
剖腹探查+肠粘连松解+左半结肠切除术,（左半结肠）腺癌
胃癌根治术,胃窦腺癌
腹腔镜上根治性右半结肠切除术,结肠溃疡型中分化管状腺癌
经腹广泛性子宫+两附件切除术+盆腔淋巴结清扫术,（宫颈）中低分化鳞状细胞癌
胰十二指肠切除、联合胰腺体颈部切除、胃造瘘、空肠造瘘术,乳头状粘连性肿瘤伴下皮重度不典型增生
全子宫切除术+右侧附件切除术,子宫内膜样腺癌（中-低分化）
全子宫切除术+右侧附件切除术,子宫内膜癌
全胃切除术+空肠J字代胃术,胃体腺癌（低分化）
腹腔镜辅助上根治性全胃切除术,贲门癌
腹腔镜辅助上根治性右半结肠切除术+小肠肿物切除术,肠隆起型绒毛状-管状腺癌II级
腹腔镜上乙状结肠根治性切除术,乙状结肠浸润性管状腺癌I-II级
腹腔镜上直肠根治术（DIXON手术）中转开腹+膀胱病损修补术,肠梗阻
乙状结肠癌根治术,溃疡性腺癌
腹会阴直肠癌根治术（MILES手术）,直肠肿瘤
腹会阴直肠癌根治术（MILES手术）,黏液腺癌
剖腹探查、根治性全胃切除术、食管-空肠ROUX-EN-Y吻合术,（胃）中分化腺癌
