entity_head,entity_tail
压痛,双上臂内侧
压痛,右面皮下
压痛,左前胸第四、五肋部
肌力,四肢皮肤
肠鸣音,下腹部
触痛,右胸部
双侧语颤,胸廓
压痛,右侧胸壁腋前线内侧
病理性杂音,各瓣膜听诊区
杂音,各瓣膜听诊区
透光试验,睾丸
移动性浊音,全腹
压痛,左肘关节
叩击痛,双肾区
触痛,左侧阴囊
病理反射,脊柱
相对浊音界,右侧锁骨中线第5肋间
压痛,各椎体棘突
压痛,鼻部
压痛,右臀部
叩击痛,腰4-5、腰5-骶1左侧椎旁
触痛,左胸部
叩击痛,右髋部
反跳痛,右下腹
压痛,左侧
病理反射,跟膝腱
直腿抬高试验,左下肢
压痛,左膝
叩心界,心
挤压试验,左前胸第四、五肋部
肌紧张,腹
反跳痛,脾
对光反射,双眼瞳孔
皮下捻发音,胸廓
触痛,前额
放射痛,左侧腰部
肌张力,四肢
压痛,右侧输尿管
相对浊音界,右锁骨中线第Ⅴ肋间
查体,肺
叩击痛,腰椎
肌力,上下肢
颧弓CT,双侧颧
压痛,右侧阴囊
查体,肛门外生殖器
触痛,两侧阴囊
肌张力,四肢皮肤
叩音,双肺
肌力,四肢
压痛,右下腹
MRI,颈椎
前后抽屉试验,左膝
压痛,左腹部
相对浊音界,右锁骨中线第Ⅴ肋
湿啰音,双肺
叩音,肝
反跳痛,肝
叩音,右侧锁骨中线第5肋间
触痛,软组织
叩击痛,腰部
背伸力,双足趾
压痛,双下肢
压痛,右上唇
肌力,足背
压痛,双上臂
压痛,上腹及脐周
病理反射,左侧腕关节
压痛,椎体棘突
叩击痛,腰3-腰5
触痛,前胸部局部软组织
叩音,胸廓
放射痛,会阴部
压痛,左胸肋部局部
肌力,各关节
压痛,右侧大腿前外侧
叩击痛,肩部
反跳痛,全腹
肌紧张,上腹及脐周
压痛,甲状腺
挤压试验,骨盆
压痛,锁骨
压痛,腰椎棘突
压痛,胸壁局部软组织
触痛,伤口周围
叩击痛,双侧肾区
压痛,指骨末端
触痛,双侧睾丸
肌力,余肢体肢
触痛,双上臂
压痛,左额顶部
呼吸动度,胸膜
压痛,左髋外侧
触痛,左侧睾丸
克氏症,跟膝腱
反跳痛,腹部
压痛,右颧部
触痛,两侧阴囊、睾丸
压痛,左膝关节
直腿抬高试验,右下肢
压痛,局部
干湿性啰音,双肺
压痛,双侧颈部
干、湿性啰音,双肺
压痛,皮缘
相对浊音界,肺
相对浊音界,右锁骨中线第Ⅵ肋间
压痛,腹部
肌力,双上肢
压痛,椎体
肌力,左下肢
压痛,各椎体
压痛,全腹
压痛,头顶部右侧
压痛,颈部后侧
压痛,背部
压痛,耻骨上膀胱区
压痛,右大腿皮肤
反跳痛,上腹及脐周
直腿抬高实验,双下肢
压痛,右手小指
压痛,腹
清音,胸廓
杂音,血管
叩击痛,胸12-腰4椎体
叩击痛,双侧肋脊角
湿性啰音,右肺
透光试验,附睾
压痛,左肘关节背
肌紧张,全腹
叩击痛,右肾区
叩击痛,左肾区
双侧Babinski征,双侧肱二三头肌
触痛,右手拇指
压痛,椎旁
肌紧张,腹部
叩击痛,右肾
肌张力,余肢体
压痛,颈部
反跳痛,下腹部
足背伸力,各足趾
胸部正位DR片,胸部
生理反射,脊柱
肌紧张,右下腹
触痛,阴囊
压痛,淋巴结
叩音,肺
叩击痛,右下肢
杂音,甲状腺
反跳痛,腹
干湿性罗音,双肺
肌紧张,脾
压痛,前胸部
触觉语颤,胸膜
病理反射,四肢
压痛,会阴部
叩心界,心前区
内外翻试验,右膝
生理反射,四肢
干湿性啰音,胸廓
肌张力,余肢体肢
压痛,左侧臀部
触痛,前胸部
肌紧张,下腹部
压痛,压痛点
压痛,腰4-5、腰5-骶1左侧椎旁
触痛,右侧胸锁乳突
直腿抬高实验,左下肢
压痛,右腹股沟部
压痛,皮肤
跟膝腱反射,双侧肱二三头肌
压痛,左面部
相对浊音界,右侧锁骨中线第Ⅴ肋
触痛,左侧顶部头皮
跟膝腱反射,四肢
查体,腹部
肌力,右下肢
压痛,左肘部
肌张力,左下肢
压痛,各鼻窦
杂音,瓣膜听诊区
彩超检查,阑尾
直腿抬高实验,右下肢
触痛,鼻背部
压痛,双肾区
压痛,右髋部
叩击痛,双下肢
压痛,下腹部
叩击痛,各椎体棘突
肌张力,双下肢
肱二、三肌腱反射,四肢
压痛,右腹
压痛,双侧输尿管走行区
肌力,下肢
触痛,背部胸椎
