entity_head,entity_tail
腹腔粘连松解术+部分大网膜切除术+广泛全子宫+两侧卵巢移位术+盆腔淋巴结清扫术,宫颈浸润型鳞状细胞癌II级
经腹腔镜直肠癌DIXON术,直肠癌（浆膜上层），扁平隆起型，高分化腺癌，I级
腹腔镜上横结肠癌根治性切除术,大肠隆起型管状腺癌II级
腹腔镜上直肠部分切除术（姑息性）+乙状结肠造瘘术,直肠癌伴肺转移
根治性胃癌根治术+毕I式吻合,胃体、胃窦低分化腺癌
腹腔镜直肠癌根治术,（直肠）腺癌（中度分化），浸润溃疡型
腹腔镜扩大根治性左半结肠切除术,（结肠）中分化腺癌
空肠空肠Ｂｒａｕｎ吻合,中-低分化腺癌，部分为印戒细胞癌，LAUREN，分型：混合型
右乳癌根治术,（右）乳腺浸润性导管癌，II级
胃癌根治术（全胃切除+ ROUX-EN-Y重建）,（胃大体）镜检为胃中至低分化腺癌，LAUREN
全胃切除术+空肠J字代胃术,胃体腺癌（低分化）
腹腔镜辅助上根治性全胃切除术,胃体小弯侧浸润型管状腺癌II-III级，部分为粘液腺癌和低粘附性癌
直肠腹会阴联合切除,印戒细胞癌
胃癌根治术(全胃）,中至低分化腺癌，LAUREN
结肠癌剖腹探查+左半结肠根根治切除术+肠减压术,升结肠癌
直肠癌根治术（DIXONS’术式）,中分化腺癌
腹腔镜辅助胃癌根治术,中-低分化腺癌，部分为印戒细胞癌，LAUREN，分型：混合型
根治性远端胃大部切除,胃窦小弯侧溃疡型中-低分化腺癌
右半结肠切除术术,粘液腺癌
远端胃切除术,低分化腺癌
腹腔镜上根治性右半结肠切除术,结肠溃疡型中分化管状腺癌
腹腔镜上直肠根治术（DIXON手术）中转开腹+膀胱病损修补术,肠梗阻
腹腔镜上乙状结肠病损切除术,肠溃疡型管状腺癌II级
胃癌根治术（D2全胃+ROUX-EN-Y重建）,胃食管结合部腺癌II型，PT3N3AM0，IIIB期
经腹腹膜外子宫切除+两附件切除+全盆腹膜切除+盆腔淋巴结清扫+腹主动脉旁淋巴结清扫+阑尾切除术,（两侧卵巢）高级别浆液性乳头状癌
胰十二指肠切除、联合胰腺体颈部切除、胃造瘘、空肠造瘘术,乳头状粘连性肿瘤伴下皮重度不典型增生
胃癌根治术（胃全切）,低分化腺癌
腹腔镜上腹膜活检术+右侧卵巢切除术,腺癌
乙状结肠癌根治术,溃疡型中低分化腺癌伴粘液腺癌
