entity_head,entity_tail
左下腹痛隐痛待查,左下腹
急性淋巴结炎,左侧面颊部
非霍奇金淋巴瘤，，弥漫大B细胞型,胃底
右侧顶骨骨折,右侧顶骨
恶性肿瘤,左卵巢
臀部脓肿,右臀部
胃癌,胃窦
腺鳞癌,两附件
胃窦多发息肉（I型）,下腹
肝转移瘤,肝右内叶
食管癌,下腹部贲门周围一淋巴结
胃癌,下腹部
多处软组织损伤,双下肢
阑尾炎,腹股沟
多处软组织损伤,双侧下肢
左侧气胸,胸
颈椎退行性变,颈椎
腔隙性脑梗塞,双侧基底节区
胆囊炎,腹
腹痛待查,脐
不全肠梗阻,肠系膜上血管根部
急性支气管炎,咽部
支气管肺炎,两下肺
腰椎管狭窄,腰部
面部外伤,鼻部
左侧顶部皮下血肿,左侧顶部皮下
腺癌,第3组淋巴结
胃窦癌伴出血伴肝脏、胰腺受侵,横结肠
腰椎管狭窄,右下肢
胃体及胃窦小弯侧早期隆起型（0-I型）低黏附性癌，印戒细胞癌为主，部分为低分化腺癌及未分化癌,胃
低分化癌,宫体上段肌层
肠梗阻,结肠脾曲
多发淋巴结,脐周
低分化腺癌,胃
颈椎、椎间盘退行性变,颈椎
浸润性低分化鳞状细胞癌,阴道
左侧肋骨骨折,左侧胸背部
肝包膜转移,肝
胃体胃窦癌,下腹
中分化腺癌, 胃体
腺癌,肠
慢性肺源性心脏病-心肺功能失代偿期,心
前列腺增生,前列腺
直肠癌,肠
外伤,面部
直肠~结肠癌,直肠
肠溃疡型管状腺癌II级,肠壁
支气管肺炎,双肺
食管鳞癌,左肺上叶纵膈
卵巢癌,卵巢
直肠隆起型中分化管状腺癌，小灶区为黏液腺癌,直肠
冠心病,前降支中段
食管癌,气管
腺鳞癌,宫颈
腺癌,结肠肝曲
胃窦浸润型管状腺癌II-III级,肝实质
腺癌,结直肠
川崎病,眼结膜
胸12椎体压缩骨折,胸12椎体
胃窦癌伴出血伴肝脏、胰腺受侵,胃窦幽门管
不全肠梗阻,肠
周围型肺癌,纵隔
中低分化腺癌,胃小弯
右下肢软组织损伤,右下肢
右胸部外伤,胸部
食管鳞状细胞癌II级,食管下段
胃窦癌伴出血伴肝脏、胰腺受侵,胰腺
"胃体胃窦癌(CT4N2M0,IIIB期)",腹
骨质疏松症,腰椎
低分化癌,宫颈
头皮血肿,头皮
胃角溃疡型粘液腺癌，部分为印戒细胞癌,幽门上淋巴结
鼻骨骨折,鼻腔
脑梗死,双侧基底节区
急性尿潴留,下腹部
胃窦癌伴胃潴留,胃
胃癌,胃体
肝转移瘤,肝
心音反应,心前区
外伤,头部
肾上腺腺瘤,左侧肾上腺
腺癌,右侧下上肢
鼻骨骨折,鼻部
腺鳞癌,宫体上段肌层
左手拇指末节开放骨折,左手拇指
胃窦癌伴出血伴肝脏、胰腺受侵,肝脏
急性支气管炎,双肺
冠心病,第一对角支近段
右侧急性附睾炎,右侧阴囊
冠心病,右冠
降结肠癌,降结肠近脾曲
左侧肋骨骨折,左侧胸部
膝关节骨性关节炎,右膝关节
胆囊结石伴胆囊炎,腹
右侧第四肋骨骨折,右侧第四肋骨骨皮质
阑尾炎,右下腹
脑梗塞,左侧基底节区
食管癌,左肺上叶纵膈
颈椎病,颈部
腔隙性脑梗死,左侧基底节区
淋巴瘤,胃
急性支气管炎,扁桃体
肠溃疡型管状腺癌II级,肠周淋巴结
胃窦溃疡,胃窦小弯侧
支气管肺炎,两肺
支气管扩张症,双肺
食管鳞状细胞癌II级,食管下段周围多发肿大淋巴结
外伤,鼻部
不全肠梗阻,降结肠近脾曲
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,十二指肠降部、水平部
面部外伤,鼻腔
胃窦小弯侧溃疡型管状腺癌II级,胃
左股骨颈骨折,左股骨颈骨质
多处皮肤软组织裂伤,右小腿
胃癌,小弯侧
（升结肠）粘液性腺癌,肠
臀部脓肿,局部皮肤
低分化癌,两附件
胃窦浸润型管状腺癌II-III级,胃
腹膜炎,下腹
左手拇指末节开放骨折,手指末节
左肺肺炎,左肺
胃角溃疡型粘液腺癌，部分为印戒细胞癌,远端胃
结肠癌,上腹部
腺癌,卵巢
慢性阻塞性肺疾病,双肺
食管癌,纵膈
左锁骨远端骨折,左锁骨远端
食管鳞癌,纵膈
颈椎综合症,肩
腰椎管狭窄,L5-S1椎间盘
鳞状下皮呈乳头状增生，部分鳞状下皮呈低级别下皮内瘤变,食管
左手拇指末节开放骨折,左手拇指远节
食管癌,食管下段周围多发肿大淋巴结
鼻骨骨折,鼻梁皮肤
颈椎退行性变,颈部
中至低分化腺癌，部分为粘液腺癌（LAUREN，分型：混合型）,胃
食管癌,食管下段
直肠癌,腹
腔隙性脑梗死,双侧基底节区
骨盆骨折,右侧坐骨
中分化腺癌,胃
腺癌,腹
腰椎间盘突出症,腰椎
左肺肺炎,咽部
直肠隆起型中分化管状腺癌，小灶区为黏液腺癌,肠
食管癌,食管
低分化腺癌,胃窦
淋巴瘤,胃体
胃癌,胃
阑尾炎,阴囊
外股骨头疾患,左髋部
低分化癌,阴道穹窿
急性胆囊炎,胆囊
胃中至低分化管状腺癌（LAUREN，分型：肠型）,胃
颈椎综合症,颈部
慢性阻塞性肺疾病,肺
骨盆骨折,右侧耻骨
胸部外伤,前胸部
颈椎病,左上肢
左肩峰撕脱骨折,左肩
卵巢癌,右附件
右膝关节骨性关节炎,右膝关节
壶腹部鳞状细胞癌（低度分化）,壶腹部
低分化癌,子宫
食管鳞癌,门齿
腹痛待查,腹
腹痛待查,中下腹
腔隙性脑梗死,双侧基底节
"胃体胃窦癌(CT4N2M0,IIIB期)",下腹
前列腺慢性炎症,阴茎
川崎病,躯干及臀部
宫颈鳞癌IIB期,阴道
直肠~结肠癌,肠
多处皮肤软组织裂伤,左前臂
阑尾炎,腰部
降结肠癌,肠系膜上血管根部
中分化腺癌,肠
恶性肿瘤,卵巢
脑梗死,右侧半卵圆中心
食管癌，伴右侧锁骨下窝、食管旁沟及纵膈内多发淋巴结转移,食管下段
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,肝十二指肠韧带
胃窦溃疡型低黏附性癌（印戒细胞癌为主，部分为未分化癌及黏液腺癌）,远端胃
胃体大弯侧溃疡型低分化腺癌,胃
肺炎,咽部
右股内侧蜂窝织炎,右侧大腿脂肪层
胃角溃疡型粘液腺癌，部分为印戒细胞癌,大弯淋巴结
腺癌,第5组淋巴结
低分化腺癌,盆腔
冠心病,心前区
颈3、胸4椎体病理性压缩性骨折,颈椎
多处软组织损伤,头部、腹部
腰椎间盘突出症,腰部
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,腹
腺癌,左卵巢
疝气,左侧下腹部腹股沟区
中低分化腺癌,下腹部
食管鳞癌,食管下段
肠溃疡型管状腺癌II级,肠
腰椎间盘突出症,右下肢
贲门腺癌（中度分化），浸润溃疡型,上段食管旁”（3个）、“贲门周围”（4个）、“胃右动脉旁”（8个）淋巴结
胆囊多发结石,腹
腺鳞癌,阴道穹窿
胃大部切除术后,胃
宫颈浸润型鳞状细胞癌II级,子宫
腺癌,第4组淋巴结
多处皮肤软组织裂伤,左膝
腺鳞癌,子宫
直肠~结肠癌,乙状结肠
肺癌,肺内
食管鳞状细胞癌II级,下腹部贲门周围一淋巴结
胃窦多发息肉（I型）,胃体
周围型肺癌,左肺上叶
食管鳞状细胞癌II级,气管
降结肠癌,肠
左肺肺炎,双肺
胃角溃疡型粘液腺癌，部分为印戒细胞癌,小弯淋巴结
肠溃疡型管状腺癌II级,乙状结肠
腺癌,第8组淋巴结
胃低粘附性癌,胃
急性阑尾炎,右下腹
胃窦溃疡,中下腹
胃癌,胃底部
腰椎间盘突出症,L5-S1椎间盘
左手拇指末节开放骨折,左手拇指末节
胃窦浸润型管状腺癌II-III级,肝
中低分化腺癌,胃角
不全肠梗阻,腹主动脉
腺癌,第7组淋巴结
淋巴瘤,胃窦
冠心病,胸
宫颈鳞癌IB1期,子宫
食管癌,门齿
胃窦低分化腺癌,下腹部
颈椎病,颈椎
右侧额颞部硬膜下血肿,右侧额颞部硬膜下
腺癌,贲门左(3/3)、 胃小弯(8/9)、幽门上（2/2)淋巴结
胃窦溃疡,小弯侧胃
降结肠癌,腹主动脉
颈椎病,肩
腔隙性脑梗塞,左侧基底节区
脂肪瘤,左上肢近端
面部外伤,鼻梁皮肤
胃窦癌术后,中下腹
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,结肠肝曲
腺癌,胃
腰椎间盘突出症,腰4-5、腰5-骶1椎间盘
食管炎（A级）,贲门
肺炎,双肺
胃癌,腹
腺癌,第1组淋巴结
肝曲结肠粘液腺癌侵犯十二指肠及肝门区,升结肠肠管
胃窦部腺癌(中、低度分化),下腹部
大肠隆起型管状-绒毛状腺癌II级,直肠
子宫内膜癌,骨
脑白质脱髓鞘改变,头
（子宫）低分化鳞状细胞癌,宫颈管
脑梗死,脑室体
胸椎骨质增生,右肺
子宫颈癌ib1期,宫
心房颤动,两房
腺癌，KRAS 突变型,腰骶部
宫颈腺癌IIA1期,全子宫
十二指肠降段溃疡,剑突
肠溃疡型管状腺癌II级,(肠系膜上动脉)淋巴结
左肝原发性肝癌,左肝后叶S6、S7段
(右中肺叶)肺周围型大细胞癌（淋巴上皮样癌亚型）,肺
中分化腺癌,两侧髂血管
肝mt综合治疗后,门脉
直肠粘膜黑色素瘤合并印戒细胞癌,肛门
腰4/5水平双侧隐窝狭窄,腹部
中低分化腺癌,胆、胰导管
浅表性胃窦炎伴糜烂,中下腹
右肾结石,肝实质
右舌、口底术后,左侧杓会厌壁
胆囊炎,胰腺
脂肪肝,胰周
宫颈癌术后,腹
周围型肺癌,右侧颞叶
