entity_head,entity_tail
静脉怒张,颈
瘀斑,皮肤、粘膜
包块,脾
畸形,双肺
疼痛,左膝关节
肿胀,右侧眼睑
渗出,阴茎
怒张,颈静脉
肿胀,左肘部
肿大,扁桃体
肿胀,肛门
出血,阴茎
畸形,脊柱
红肿,尿道外
黄染,全身皮肤粘膜
隆起,双肾区
红肿,前胸部局部软组织
畸形,头颅五官
黄染,周身皮肤黏膜
红肿,造瘘口
红肿,腹
隆起,双侧肋脊角
出血,左额顶部
渗出,右髋部
畸形,四肢关节
黄染,周身皮肤粘膜
畸形,肛门外
疼痛,双膝关节
苍白,口唇
瘀斑,周身皮肤粘膜
肿胀,头颅
畸形,尿道外口
畸形,头
肿胀,耻骨上膀胱区
隆起,心前区
肿块,左肾区
肿块,右肾区
肿胀,右腹股沟
水肿,眼睑
狭窄,尿道外
畸形,耳、鼻、喉腔
渗出,右侧胸壁腋前线
浮肿,眼睑
苍白,睑结膜
瘀斑,周身皮肤黏膜
黄染,巩膜
渗出,右手内侧
肿胀,左肩部
渗出,左手环指
黄染,黏膜
肿胀,左侧胸部
疼痛,腰部
畸形,鼻
出血,肛门
包块,肝
畸形,肛门外生殖
渗出,头部
狭窄,尿道
渗出,左膝关节
肿大,肝
出血点,周身皮肤黏膜
包块,右腹股沟部
发绀,口唇
红肿,四肢关节
异常搏动,颈动脉
红肿,右腹股沟部
肿大,周身浅表淋巴结
红肿,龟头
出血,头顶部
出血,下唇右侧内黏膜
畸形,胸廓
充血,结膜
肿大,肝脾胃
隆起,心
震颤,腹
疼痛,双侧大腿
瘀斑,黏膜
肿大,双侧颈部
渗出,右下腹
畸形,胸廓两侧
肿大,下淋巴结
出血,结膜
静脉曲张,腹壁
肿大,腹部
充血,咽
肿大,右侧下颌淋巴结
疼痛,腹股沟
隆起,脊肋角
黄染,全身皮肤黏膜
红肿,皮缘
隆起,双侧肾区
肿块,双肾区
溃疡,造瘘口
疼痛,右肾区
肿块,双侧肾区
裂开,右髋部
渗出,腹
包块,腹
渗出,尿道外
肿大,甲状腺
红肿,手术切口皮缘
红肿,左膝关节
肿块,双侧肋脊角
渗出,肛门
苍白,结膜
肿胀,腹部
红肿,造瘘肠管
充血,咽部
肿胀,右侧面颧部
结节,双侧附睾
畸形,头颅
麻木,肢体
渗出,尿道外口
疼痛,右膝关节
渗出,左肾
红肿,右髋部
肿胀,表面皮肤
溃疡,造瘘肠管
肿胀,腹壁
渗出,右侧肘部
破溃,双膝关节皮肤
红肿,外阴
结节,附睾
黄染,皮肤、粘膜
肿大,腹
隆起,耻骨上膀胱区
狭窄,尿道外口
破溃,皮肤
畸形,四肢
肿大,脾
包块,肋下
疼痛,双上肢
肿胀,左手指
疼痛,会阴部
水肿,双下肢
肿胀,双侧输尿管走行区
充血,睑结膜
疼痛,咽部
发绀,唇
震颤,心前区
畸形,双膝关节皮肤
腹胀,下腹部
渗出,右腹股沟部
包块,腹部
红肿,尿道外口
肿大,周身浅表淋巴
肿大,锁骨
肿大,扁桃腺
肿胀,头顶部右侧
疼痛,双下肢
出血,表面皮肤
包块,全腹
肿块,右肾
红肿,尿道
渗出,龟头
肿大,气管
肿胀,腰部
发绀,左侧面颊部
疱疹,脓苔
脓苔,左上乳中切牙
血肿,枕顶部
咳痰,大便
畸形,头颈部
咳嗽,右侧踝部
发热,周身
对称,双侧睾丸
肿大,双侧牙龈
畸形,脊柱
水肿,椎体脂肪
疼痛,左侧腹股沟
疼痛,L3-5椎间盘
腹痛,左侧肩部
律齐,腹
水肿,右膝
畸形,右颞部
静脉曲张,心包
钝痛,下腹
正大等圆,软组织
头晕,身体多处
疼痛,左眉弓上皮肤
咳痰,腰部
咳痰,肺
结节,腹部脐周大血管周边
畸形,胸壁
肿胀,左小腿
锐痛,面部
呕吐,后背部
腹痛,二便
恶心,右侧颞顶部颅骨
发绀,耳
发热,大小便
头晕,顶部
疼痛,左侧胸背部
律齐,腹部
包块,粘膜
血肿,右侧枕部
膨大,椎管
渗出,右下腹
红肿,双乳
胸闷,上腹部
疼痛,左面侧额部
昏迷,左手拇指远节
溃疡,咽峡部
包块,头左颞部
渗出,双侧肋脊角
红肿,肺
怒张,胸壁静脉
头昏,右胸
头痛,双肺
气短,左侧肢体
呕吐,顶部
咳嗽,双侧瞳孔
头晕,后背部
发热,右膝
黄染,结膜
苍白,巩膜
红肿,左膝
疱疹,咽峡部
正大等圆,四肢
律齐,瓣膜
包块,双下肢
畸形,压痛点
包块,腹股沟
畸形,左膝关节
对称,齿口角
腹胀,腰部
肿大,脓苔
腹痛,胃
疼痛,腰
发热,肋下
瘀斑,出血点
发热,右下肢
瘀斑,左手拇指
血肿,肺
黄染,双侧瞳孔
正大等圆,头颅
肿大,周身皮肤、粘膜
呕吐,右侧额颞部硬膜下
痛,会阴部
水肿,巩膜
呕吐,脾
肿大,胸膜
黄染,淋巴结
畸形,左肘
静脉曲张,右上腹
血肿,头颅枕顶部
发热,下腹部
恶心,右侧踝部
头晕,胸部
腹痛,头皮
胸闷,左面侧额部
苍白,浅表淋巴结
静脉怒张,颈动脉
腹胀,便
疼痛,右腰季肋部
心悸,左上唇
水肿,踝关节
疼痛,左肘关节
红肿,头顶部
瘀斑,皮肤黏膜
头痛,右膝关节
肿胀,双上肢
胸痛,肢体
胸痛,左侧顶部皮下
气短,头
麻木,左肘
头晕,双膝部
锐痛,左手拇指末节
气短,左锁骨远端
律齐,心
静脉曲张,双侧精索
腹痛,心前区
肿大,周身浅表淋巴结
等大等圆,眼睑
红肿,右耳廓
畸形,左侧腰部肌肉组织
麻木,足背
溃疡,咽后壁
头晕,右侧小脑
正大等圆,额
发绀,双侧第一乳磨牙
麻痛,右下肢
发烧,盆腔
疼痛,左侧头顶部
狭窄,腰椎
肿大,颈部淋巴结
咳嗽,关节
腰痛,心
昏迷,右小腿
疼痛,腰椎
头痛,左侧肢体
发热,右膝关节
肿胀,足趾
膨隆,上腹部
反酸,背部
发热,肛门
呕吐,左侧肢体
头晕,颜面
麻木,拇指末节
疼痛,左锁骨远端
肿胀,右手掌
肿大,左上乳中切牙
畸形,盗汗
对称,鼻
包块,全腹
呕吐,右侧踝部
腰痛,椎小关节
恶心,盆腔
等大正圆,双侧瞳孔
肿胀,下颌部
发绀,扁桃腺
咳痰,胸肋部
膨大,双侧颈动脉
呕吐,右侧腰部
干燥,右小腿
疼痛,胸
头晕,双上肢
肿大,喉腔
麻木,左下肢前外侧
疼痛,右腕
恶心,腹股沟
震颤,腹部
出血,双侧瞳孔
畸形,出血点
锐痛,头部
昏迷,右下肢
头痛,肋下
肿胀,右颧部
发绀,双侧扁桃体
结节,右手掌指关节
隆起,双侧肋脊角
干燥,双侧瞳孔
疼痛,右侧顶骨
麻木,远节背侧
疼痛,鼻部
律齐,双侧瞳孔
浮肿,巩膜
肿大,浅表淋巴结
正大等圆,左侧颞部
胸痛,左肩部
肿胀,右腰季肋部
麻木,左肩部
丘疹,胸部正位
腰痛,所示椎体边缘
呕吐,头
胸闷,二便
肿胀,双侧眼眶
胸闷,颈椎
血肿,颈椎
血肿,双侧瞳孔
红肿,右面部
充血,周身
充血,双侧扁桃腺
发热,手足
肿大,上颚
发热,白痰
血肿,薄层硬膜
咳痰,双下肺
心悸,左侧上下肢
胸闷,胃
肿胀,左大腿
肿胀,粘膜
呼吸困难,左肩
隆起,耻骨上膀胱区
中小水泡音,支气管
疼痛,左腹部
正大等圆,右膝部
发热,脊柱
头痛,白痰
咳痰,头部
出血,左侧附件、右侧附件区
骨折,头部
正大等圆,全腹
胸痛,大小便
恶心,右侧枕骨
心悸,头皮
发热,脾
烧心,腰
渗出,各瓣膜听诊区
肿胀,膝
结节,脐周
钝痛,腰部
肿胀,头皮
钝痛,右下腹
充血,出血点
心悸,右耳部
疼痛,右颧部
水肿,肢体
发绀,牙龈
红肿,腰
肿大,舌下淋巴结
静脉曲张,心尖
发热,胸肋部
肿胀,右眼下睑
疼痛,左足
出血,左侧肩部
出血,颈
律齐,双肺底部
肿胀,头枕上方
律齐,瓣膜区
咳嗽,L3-5椎体骨质边缘
正大等圆,瞳孔
包块,腰部双侧竖脊肌
恶心,左上肢
头痛,薄层硬膜
裂伤,鼻部软组织
畸形,右侧锁骨中线第5肋间
律齐,头
疼痛,右胸部
畸形,右颧部
黄染,浅表淋巴结
发绀,腹
胸闷,腹
疼痛,右上胸部
畸形,外阴
肿大,全身浅表淋巴结
包块,肝、脾肋下
头痛,左髋部
出血,伤口边缘
疼痛,心
疱疹,手足
红肿,心
疼痛,L5/S1椎间隙水平椎体后缘
麻木,右髋部
咳嗽,双下肺
疼痛,椎体边缘
出血,左膝部
出血,腹
红肿,L4-s1椎间盘
呕吐,左侧基底节区
律齐,心尖
肿大,双下肢
喘憋,肺
红肿,右股
腹泻,颜面
红肿,右股内侧
浮肿,颈后部
呼吸音,咽部
麻木,左足大踇趾
斑丘疹,眼睑
肿大,周身
苍白,双侧扁桃腺
红肿,双侧瞳孔
恶心,大小便
疼痛,胃脘部
腹胀,骨盆
麻痛,双下肢
肿大,右卵巢
发热,白细胞
淤血,左肩
肿胀,左侧肩部
结节,椎旁双侧
充血,眼眶
畸形,鼻背部
头痛,右膝部外侧
咳痰,小便
静脉曲张,双下肢
发绀,眼眶
屈曲畸形,右手拇指末节
麻痛,肩颈部
疼痛,左肘部
正大等圆,外耳道
发热,扁桃体
对称,左背部
肿大,肝
血肿,头颅
红肿,硬膜囊
心悸,肺腹
腹泻,肺
腹胀,左侧肩部
正大等圆,肋下
畸形,头
对称,右肺下野
水肿,全身皮肤粘膜
呕吐,下腹部
恶心,脑
胸痛,脑
头痛,右肘部
咳嗽,小便
恶心,口唇
头晕,左侧肢体
胀痛,左胸部
头晕,右侧踝部
