entity_head,entity_tail
CT,贲门腺癌
谷丙转氨酶,肝硬化失代偿
胸部CT,心脏血管及主动脉钙化
尿常规,左侧输尿管结石
B超,肝内胆管及胆总管多发结石伴远端胆管扩张
腰椎X光片,骨质疏松症
CT,膀胱术后
血小板数,肝硬化失代偿
尿素氮,肾性贫血
腹部，CT,两肺上叶炎症
左肘关节正侧位,左肘关节骨化性肌炎
HCO3-,下消化道出血
胸部CT平扫+，增强,食管中上段鳞癌
腹部，CT,胸腔积液
查体,右股骨颈骨折
腹部彩超,肝硬化部分切除术后
b超,甲状腺癌
CT,右肾囊肿
脑DWI,两侧胸腔积液
MRI检查,胆囊泥沙样结石
血肌酐,高血压3级很高危
CT,肝多发囊肿
谷氨酰转肽酶,肝硬化失代偿
腹盆腔强化CT,前列腺增生
胸、腹、，盆腔CT,肾囊肿
MR,肝CA治疗后
上肢深静脉彩超,左上肢深静脉血栓形成
b超,胆囊结石
肌酐,糖尿病肾病
心脏彩超,二尖瓣及主动脉瓣狭窄
腹部，CT,慢性胰腺炎急性发作
腹盆MR,升结肠癌
胸部+全腹部+盆腔CT,直肠~结肠癌
胸部ct,食管鳞癌
血肌酐,低蛋白血症
PET/CT,淋巴瘤
胸部CT,心衰
头颅CT,腔隙性脑梗塞
B超,卵巢癌
肌酐,糖尿病周围神经病变
尿素,糖尿病周围神经病变
胸片,两肺广泛感染
心脏彩超,肺动脉瓣及主动脉瓣轻度反流
PET-CT,胃窦部MT伴胃周淋巴结转移
LAC,糖尿病糖尿病酮症酸中毒
彩超,前列腺增生
CT,肝转移
胸部CT,肺部转移
胸部CT,缺血性心肌病型
腹部，CT,胆囊炎
肾上腺CT,肾上腺腺瘤
b超,胆囊炎
头颅和鼻骨，肝胆脾胰CT,腔隙性脑梗死
胸部CT,囊性畸胎瘤
腹部彩超,肝囊肿
心电图,窦性心律
空腹血糖,糖尿病
PLT,血小板减少性紫癜
B超,胆囊泥沙样结石
胸部CT,囊性病变
CT,胃贲门癌术后
CT,腹膜种植
腹部，CT,肝MT术后
查体,无痛血尿
BE,糖尿病糖尿病酮症酸中毒
尿素氮,低蛋白血症
血红蛋白,慢性肾脏病5期
胸片,左下肺感染性病变
脑DWI,高血压病（2级 很高危）
血肌酐,慢性肾脏病5期
MRI,浆液性囊腺癌
LAC,下消化道出血
尿素氮,尿路感染
HB,缺铁性贫血
腰骶部平扫,不除外骶管囊肿
心脏彩超,心包积液
腹部彩超,胆囊息肉
